,name,github_id,npm_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,monthly_downloads,show,projectrank_placing,labels,demo_url,trending,github_release_downloads,updated_github_id,pypi_id,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads
18,React-Toastify,fkhadra/react-toastify,react-toastify,notifications,https://github.com/fkhadra/react-toastify,https://github.com/fkhadra/react-toastify,MIT,2016-11-08 12:32:52.000,2021-04-25 20:22:27.000,2021-04-23 12:34:23.000,362,16.0,415.0,6704,1039.0,2021-04-23 12:38:06.000,7.0.4,116.0,React notification made easy !.,92406.0,86470.0,68.0,33,https://www.npmjs.com/package/react-toastify,2021-04-23 12:37:40.399,5936.0,2671655.0,2671655.0,True,1,,https://fkhadra.github.io/react-toastify/introduction/,,,,,,,,
19,React Chartjs 2,reactchartjs/react-chartjs-2,react-chartjs-2,data-viz,https://github.com/reactchartjs/react-chartjs-2,https://github.com/reactchartjs/react-chartjs-2,MIT,2016-05-06 22:01:08.000,2021-05-03 16:33:04.000,2021-05-03 16:33:04.000,708,137.0,384.0,3972,279.0,2021-04-27 14:58:12.459,3.0.3,68.0,"React wrapper for Chart.js 2.0 and 3.0, the most popular charting library.",81966.0,75242.0,60.0,33,https://www.npmjs.com/package/react-chartjs-2,2021-04-27 14:58:12.459,6724.0,1525301.0,1525301.0,True,1,,https://reactchartjs.github.io/react-chartjs-2/,,,,,,,,
20,Slate,ianstormtaylor/slate,slate,editors,https://github.com/ianstormtaylor/slate,https://github.com/ianstormtaylor/slate,MIT,2016-06-18 01:52:42.000,2021-05-06 14:53:12.000,2021-05-06 00:30:17.000,2265,405.0,2170.0,20478,,2021-05-05 23:13:58.000,slate@0.62.1,498.0,A completely customizable framework for building rich text editors. (Currently in beta.).,64631.0,57633.0,399.0,32,https://www.npmjs.com/package/slate,2021-04-01 02:10:51.453,6998.0,948339.0,948339.0,True,2,,https://www.slatejs.org/examples/richtext,-1.0,,,,,,,
21,docz,doczjs/docz,docz,dev-tools,https://github.com/pedronauck/docz,https://github.com/pedronauck/docz,MIT,2018-03-17 04:24:10.000,2021-04-04 15:07:33.000,2020-11-19 15:31:27.000,1266,72.0,1098.0,20123,1581.0,2020-04-05 08:58:58.000,2.3.1,273.0,It has never been so easy to document your things!.,6641.0,5269.0,122.0,32,https://www.npmjs.com/package/docz,2020-04-07 10:55:25.773,1372.0,205601.0,205601.0,True,2,,,,,pedronauck/docz,,,,,
22,Blueprint,palantir/blueprint,@blueprintjs/core,ui-frameworks,https://github.com/palantir/blueprint,https://github.com/palantir/blueprint,Apache-2.0,2016-10-25 21:17:50.000,2021-05-06 17:22:34.000,2021-05-04 15:46:09.000,1858,570.0,1852.0,17692,,2021-05-04 15:53:47.237,3.44.2,145.0,A React-based UI toolkit for the web.,11119.0,9041.0,279.0,32,https://www.npmjs.com/package/@blueprintjs/core,2021-04-13 17:30:43.042,2078.0,709027.0,709027.0,True,3,,https://blueprintjs.com/docs/,,,,,,,,
23,Handsontable,handsontable/handsontable,handsontable,data-tables,https://github.com/handsontable/handsontable,https://github.com/handsontable/handsontable,ICU,2011-05-23 22:38:58.000,2021-05-06 18:08:03.000,2021-03-18 10:02:32.000,2585,559.0,5971.0,15106,7029.0,2021-03-16 10:58:01.000,8.3.2,100.0,"JavaScript data grid with a spreadsheet look & feel. Works for React, Angular, and Vue. Supported by the Handsontable..",4304.0,3580.0,117.0,32,https://www.npmjs.com/package/handsontable,2021-02-10 11:36:40.612,724.0,308003.0,308003.0,False,1,,https://handsontable.com/examples,,,,,,,,
24,nivo,plouc/nivo,@nivo/core,data-viz,https://github.com/plouc/nivo,https://github.com/plouc/nivo,MIT,2016-04-16 03:27:56.000,2021-05-05 07:56:38.000,2021-05-03 12:32:57.000,678,144.0,890.0,8703,1311.0,2021-05-03 12:00:23.000,0.69.1,52.0,"nivo provides a rich set of dataviz components, built on top of the awesome d3 and Reactjs libraries.",1348.0,1046.0,136.0,32,https://www.npmjs.com/package/@nivo/core,2021-04-30 13:15:58.319,302.0,755692.0,755692.0,True,2,,https://nivo.rocks/components/,,,,,,,,
25,Grommet,grommet/grommet,grommet,ui-frameworks,https://github.com/grommet/grommet,https://github.com/grommet/grommet,Apache-2.0,2015-03-24 08:54:10.000,2021-05-06 17:15:25.000,2021-05-06 16:25:31.000,876,208.0,2367.0,7218,5796.0,2021-04-29 16:40:37.000,2.17.2,132.0,"a react-based framework that provides accessibility, modularity, responsiveness, and theming in a tidy package.",7598.0,6366.0,292.0,32,https://www.npmjs.com/package/grommet,2021-04-29 16:33:44.661,1232.0,114529.0,114556.0,True,3,,https://v2.grommet.io/components,,1702.0,,,,,,
26,material-table,mbrn/material-table,material-table,data-tables,https://github.com/mbrn/material-table,https://github.com/mbrn/material-table,MIT,2018-08-06 13:15:08.000,2021-04-21 11:22:34.000,2021-04-21 11:22:33.000,922,181.0,2137.0,2980,1576.0,2020-11-17 09:24:46.731,1.69.2,186.0,Datatable for React based on material-ui's table with additional features.,14442.0,13914.0,198.0,32,https://www.npmjs.com/package/material-table,2020-11-17 09:24:46.731,528.0,571148.0,571148.0,True,1,['material-ui'],,-1.0,,,,,,,
27,emotion,emotion-js/emotion,@emotion/react,styling,https://github.com/emotion-js/emotion,https://github.com/emotion-js/emotion,MIT,2017-05-27 04:23:45.000,2021-05-05 11:22:57.000,2021-05-05 11:18:36.000,816,103.0,1175.0,12952,,2021-04-08 12:28:12.000,@emotion/serialize@1.0.2,100.0,CSS-in-JS library designed for high performance style composition.,11274.0,11274.0,257.0,31,https://www.npmjs.com/package/@emotion/react,2020-12-22 07:48:03.779,0.0,3300885.0,3300885.0,True,3,,,1.0,,,,,,,
28,Victory,FormidableLabs/victory,victory,data-viz,https://github.com/FormidableLabs/victory,https://github.com/FormidableLabs/victory,MIT,2015-07-02 22:36:50.000,2021-05-06 14:43:15.000,2021-05-05 22:19:47.000,428,153.0,1194.0,8844,,2021-05-05 21:41:53.580,35.6.1,186.0,A collection of composable React components for building interactive data visualizations.,9984.0,8612.0,234.0,31,https://www.npmjs.com/package/victory,2021-05-05 21:41:53.580,1372.0,677332.0,677332.0,True,2,,https://formidable.com/open-source/victory/gallery/,,,,,,,,
29,React Ace,securingsincity/react-ace,react-ace,editors,https://github.com/securingsincity/react-ace,https://github.com/securingsincity/react-ace,MIT,2014-11-29 05:15:14.000,2021-05-06 17:59:49.000,2021-03-31 01:47:22.000,516,107.0,282.0,3043,853.0,2021-03-28 00:46:55.237,9.4.0,92.0,React Ace Component.,15325.0,11745.0,116.0,31,https://www.npmjs.com/package/react-ace,2021-03-28 00:46:55.237,3580.0,1360452.0,1360463.0,True,2,,https://securingsincity.github.io/react-ace/,,817.0,,,,,,
30,react-json-view,mac-s-g/react-json-view,react-json-view,file-handling,https://github.com/mac-s-g/react-json-view,https://github.com/mac-s-g/react-json-view,MIT,2017-03-26 06:01:36.000,2021-04-29 15:39:29.000,2021-03-09 03:27:31.000,280,96.0,86.0,2018,732.0,2021-03-09 03:08:46.252,1.21.3,111.0,JSON viewer for react.,14876.0,13882.0,33.0,31,https://www.npmjs.com/package/react-json-view,2021-03-09 03:08:46.252,994.0,1137548.0,1137548.0,True,2,,https://mac-s-g.github.io/react-json-view/demo/dist/,,,,,,,,
31,Notistack,iamhosseindhv/notistack,notistack,notifications,https://github.com/iamhosseindhv/notistack,https://github.com/iamhosseindhv/notistack,MIT,2018-08-04 21:05:47.000,2021-04-29 00:25:58.000,2021-04-18 16:38:30.000,181,21.0,228.0,1972,471.0,2021-04-18 16:38:57.388,1.0.6,79.0,Highly customizable notification snackbars (toasts) that can be stacked on top of each other.,10121.0,9615.0,42.0,31,https://www.npmjs.com/package/notistack,2021-04-25 01:29:50.289,506.0,1172827.0,1172827.0,True,3,['material-ui'],https://iamhosseindhv.com/notistack/demos,,,,,,,,
32,Rebass,rebassjs/rebass,rebass,ui-frameworks,https://github.com/rebassjs/rebass,https://github.com/rebassjs/rebass,MIT,2015-02-11 14:48:09.000,2021-05-06 18:11:38.000,2021-05-06 16:40:54.000,542,42.0,428.0,7282,2014.0,2019-10-28 19:08:45.057,4.0.7,109.0,React primitive UI components built with styled-system.,10188.0,8700.0,58.0,30,https://www.npmjs.com/package/rebass,2019-10-28 19:08:45.057,1488.0,403280.0,403280.0,True,3,,https://codesandbox.io/s/github/rebassjs/rebass/tree/master/examples/sandbox,,,,,,,,
33,BizCharts,alibaba/BizCharts,bizcharts,data-viz,https://github.com/alibaba/BizCharts,https://github.com/alibaba/BizCharts,MIT,2017-11-10 08:27:54.000,2021-04-29 06:26:52.000,2021-04-29 06:26:52.000,603,244.0,961.0,5585,948.0,2021-04-19 07:24:38.000,4.1.10,211.0,Powerful data visualization library based on G2 and React.,11972.0,10740.0,76.0,30,https://www.npmjs.com/package/bizcharts,2021-04-19 03:52:30.917,1232.0,133064.0,133064.0,True,2,,,,,,,,,,
34,React Suite,rsuite/rsuite,rsuite,ui-frameworks,https://github.com/rsuite/rsuite,https://github.com/rsuite/rsuite,MIT,2016-06-06 02:27:46.000,2021-04-29 03:35:52.000,2021-04-16 02:10:33.000,530,133.0,397.0,5484,1640.0,2021-03-11 09:35:16.987,4.9.3,212.0,A suite of React components .,3234.0,3102.0,51.0,30,https://www.npmjs.com/package/rsuite,2021-03-19 07:15:46.990,132.0,64180.0,64180.0,True,3,,https://rsuitejs.com/components/overview/,,,,,,,,
35,react-monaco-editor,react-monaco-editor/react-monaco-editor,react-monaco-editor,editors,https://github.com/react-monaco-editor/react-monaco-editor,https://github.com/react-monaco-editor/react-monaco-editor,MIT,2016-09-05 07:11:05.000,2021-03-30 15:09:25.000,2021-03-30 15:09:15.000,270,19.0,222.0,2179,349.0,2021-03-15 17:34:44.054,0.43.0,69.0,Monaco Editor for React.,9740.0,9144.0,60.0,30,https://www.npmjs.com/package/react-monaco-editor,2021-03-15 17:34:44.054,596.0,364845.0,364845.0,True,2,,,,,,,,,,
36,MUI-Datatables,gregnb/mui-datatables,mui-datatables,data-tables,https://github.com/gregnb/mui-datatables,https://github.com/gregnb/mui-datatables,MIT,2017-11-04 19:49:44.000,2021-05-06 17:25:36.000,2021-04-03 07:24:59.000,711,453.0,768.0,1995,925.0,2021-04-03 07:27:55.000,3.7.7,143.0,Datatables for React using Material-UI - https://www.material-ui-datatables.com.,4800.0,4546.0,129.0,30,https://www.npmjs.com/package/mui-datatables,2021-04-03 07:27:06.513,254.0,213914.0,213914.0,True,2,['material-ui'],,,,,,,,,
37,visx,airbnb/visx,@visx/group,data-viz,https://github.com/airbnb/visx,https://github.com/airbnb/visx,MIT,2017-03-15 16:25:41.000,2021-05-03 20:19:41.000,2021-05-03 20:17:09.000,486,86.0,453.0,13180,2888.0,2021-03-08 20:16:56.000,1.6.1,76.0,visx | visualization components.,46.0,46.0,109.0,29,https://www.npmjs.com/package/@visx/group,2021-03-08 20:10:00.881,0.0,201535.0,201535.0,True,3,,https://airbnb.io/visx/gallery,,,,,,,,
38,React-Move,sghall/react-move,react-move,animations,https://github.com/sghall/react-move,https://github.com/sghall/react-move,MIT,2017-03-20 15:38:13.000,2021-04-24 09:47:34.000,2021-02-03 23:11:22.000,196,4.0,35.0,6292,508.0,2020-06-30 01:48:33.306,6.3.0,58.0,"React Move | Beautiful, data-driven animations for React.",4259.0,3613.0,12.0,29,https://www.npmjs.com/package/react-move,2020-06-30 01:48:33.306,646.0,462996.0,462996.0,True,1,,https://react-move-docs.netlify.app/#/demos/node-group,,,,,,,,
39,react-csv,react-csv/react-csv,react-csv,file-handling,https://github.com/react-csv/react-csv,https://github.com/react-csv/react-csv,MIT,2016-11-25 12:55:39.000,2021-05-06 17:31:47.000,2020-07-09 05:32:23.000,211,101.0,114.0,755,164.0,2020-04-01 19:55:11.000,2.0.3,30.0,React components to build CSV files on the fly basing on Array/literal object of data.,6602.0,6080.0,26.0,29,https://www.npmjs.com/package/react-csv,2020-04-01 16:36:39.880,522.0,992006.0,992006.0,True,3,,,,,,,,,,
40,Ant Design Pro,ant-design/ant-design-pro,,admin-dashboards,https://github.com/ant-design/ant-design-pro,https://github.com/ant-design/ant-design-pro,MIT,2017-08-25 10:40:44.000,2021-04-29 02:15:55.000,2021-04-26 02:16:48.000,6703,99.0,6953.0,29041,2287.0,2020-12-18 07:06:21.000,4.3.0,22.0,Use Ant Design like a Pro!.,2169.0,2169.0,279.0,28,,,,,,True,2,['ant-design'],https://preview.pro.ant.design/,,,,,,,,
41,react-virtualized,vaughn/react-virtualized,react-virtualized,data-tables,,https://github.com/bvaughn/react-virtualized,MIT,,2018-06-01 16:00:52.806,,2635,,,21380,,2020-12-18 22:16:25.269,9.22.3,294.0,"React components for efficiently rendering large, scrollable lists and tabular data.",5456.0,,,28,https://www.npmjs.com/package/react-virtualized,2018-06-01 16:00:52.806,5456.0,3644420.0,3644420.0,False,2,,https://bvaughn.github.io/react-virtualized/#/components/List,,,,,,,,
42,Evergreen,segmentio/evergreen,evergreen-ui,ui-frameworks,https://github.com/segmentio/evergreen,https://github.com/segmentio/evergreen,MIT,2017-07-30 10:03:14.000,2021-05-06 17:58:57.000,2020-12-04 22:52:34.000,633,73.0,291.0,10687,707.0,2020-09-28 15:23:38.000,5.1.2,205.0,Evergreen React UI Framework by Segment.,2302.0,2152.0,107.0,28,https://www.npmjs.com/package/evergreen-ui,2021-05-03 21:11:34.184,150.0,35027.0,35027.0,True,3,,,,,,,,,,
43,react-vis,uber/react-vis,react-vis,data-viz,https://github.com/uber/react-vis,https://github.com/uber/react-vis,MIT,2016-02-22 20:45:50.000,2021-04-17 19:10:01.000,2020-07-13 14:33:01.000,812,316.0,504.0,7811,876.0,2019-04-19 03:58:15.000,1.11.7,99.0,Data Visualization Components.,1048.0,,122.0,28,https://www.npmjs.com/package/react-vis,2017-04-22 00:52:57.632,1048.0,292337.0,292337.0,True,3,,http://uber.github.io/react-vis/examples/showcases/,,,,,,,,
44,react-data-grid,adazzle/react-data-grid,react-data-grid,data-tables,https://github.com/adazzle/react-data-grid,https://github.com/adazzle/react-data-grid,MIT,2015-03-06 10:15:04.000,2021-05-06 17:14:28.000,2021-05-06 17:11:12.000,1838,176.0,1070.0,4558,,2019-04-03 17:25:26.810,6.1.0,997.0,"Excel-like grid component built with React, with editors, keyboard navigation, copy & paste, and the like.",5125.0,4243.0,119.0,28,https://www.npmjs.com/package/react-data-grid,2021-05-06 17:12:12.717,882.0,255709.0,255709.0,True,2,,,,,,,,,,
45,Reactive Search,appbaseio/reactivesearch,@appbaseio/reactivesearch,other-components,https://github.com/appbaseio/reactivesearch,https://github.com/appbaseio/reactivesearch,Apache-2.0,2017-02-15 15:21:24.000,2021-05-06 13:47:39.000,2021-05-04 12:55:50.000,440,166.0,852.0,4406,2378.0,2021-05-04 12:58:02.000,1.14.1-ue,274.0,Search UI components for React and Vue: powered by appbase.io / Elasticsearch.,296.0,112.0,60.0,28,https://www.npmjs.com/package/@appbaseio/reactivesearch,2021-05-03 08:16:37.145,184.0,18938.0,18938.0,True,1,,https://opensource.appbase.io/reactivesearch/#examples,,,,,,,,
46,react-sortable-tree,frontend-collective/react-sortable-tree,react-sortable-tree,other-components,https://github.com/frontend-collective/react-sortable-tree,https://github.com/frontend-collective/react-sortable-tree,MIT,2016-07-22 08:36:25.000,2021-05-06 17:46:48.000,2020-08-10 07:57:42.000,730,300.0,292.0,4073,552.0,2020-08-10 08:00:07.000,2.8.0,65.0,Drag-and-drop sortable component for nested data and hierarchies.,2585.0,2237.0,37.0,28,https://www.npmjs.com/package/react-sortable-tree,2020-08-10 07:56:50.631,348.0,349462.0,349462.0,True,1,,https://frontend-collective.github.io/react-sortable-tree/?path=/story/basics--minimal-implementation,,,,,,,,
47,react-mde,andrerpena/react-mde,react-mde,editors,https://github.com/andrerpena/react-mde,https://github.com/andrerpena/react-mde,MIT,2016-11-26 18:10:16.000,2021-05-04 08:58:40.000,2021-05-04 08:58:36.000,135,51.0,144.0,1243,764.0,2021-05-04 08:58:15.604,11.5.0,111.0,React Markdown Editor.,1371.0,1233.0,50.0,28,https://www.npmjs.com/package/react-mde,2021-05-04 08:58:15.604,138.0,89067.0,89067.0,True,3,,http://andrerpena.me/react-mde/,,,,,,,,
48,React Data Table,jbetancur/react-data-table-component,react-data-table-component,data-tables,https://github.com/jbetancur/react-data-table-component,https://github.com/jbetancur/react-data-table-component,Apache-2.0,2018-03-16 04:31:39.000,2021-05-01 23:03:37.000,2021-04-24 02:21:55.000,196,33.0,467.0,976,787.0,2021-02-23 03:50:10.930,6.11.7,145.0,"A responsive table library with built-in sorting, pagination, selection, expandable rows, and customizable styling.",3729.0,3641.0,37.0,28,https://www.npmjs.com/package/react-data-table-component,2021-04-24 02:21:38.042,88.0,148717.0,148717.0,True,2,,https://jbetancur.github.io/react-data-table-component/,,,,,,,,
