,name,github_id,npm_id,category,maven_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,monthly_downloads,maven_url,maven_latest_release_published_at,maven_dependent_project_count,show,projectrank_placing,trending,labels,demo_url,pypi_id,pypi_url,pypi_latest_release_published_at,nuget_id,github_release_downloads,go_id,go_url,go_latest_release_published_at,go_dependent_project_count,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,brew_id,conda_id,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads
52,react-beautiful-dnd,atlassian/react-beautiful-dnd,react-beautiful-dnd,other-components,org.webjars.npm:react-beautiful-dnd,https://github.com/atlassian/react-beautiful-dnd,https://github.com/atlassian/react-beautiful-dnd,Apache-2.0,2017-08-09 03:37:15.000,2021-12-14 00:33:46.000,2021-10-15 06:06:19.000,793.0,5.0,1918,248.0,919.0,476.0,994.0,25970,2021-03-21 23:46:09.000,13.1.0,93.0,Beautiful and accessible drag and drop for lists with React.,38065.0,36384.0,126,37,https://www.npmjs.com/package/react-beautiful-dnd,2021-03-21 23:24:40.308,1680.0,3378015.0,3378015.0,https://search.maven.org/artifact/org.webjars.npm/react-beautiful-dnd,2020-08-24 00:00:00.000,1.0,True,1,,,,,,,,,,,,,,,,,,,,,,,,,
53,umi,umijs/umi,umi,cms-frameworks,,https://github.com/umijs/umi,https://github.com/umijs/umi,MIT,2017-11-22 10:09:36.000,2022-01-07 09:01:36.000,2021-12-21 06:59:14.000,4498.0,5.0,1981,268.0,2590.0,350.0,4213.0,11810,2021-09-28 05:56:20.000,3.5.20,528.0,Pluggable enterprise-level react application framework.,2293.0,985.0,318,37,https://www.npmjs.com/package/umi,2021-12-30 09:20:17.099,1308.0,99958.0,99958.0,,,,True,3,,,,,,,,,,,,,,,,,,,,,,,,,
54,react-slick,akiran/react-slick,react-slick,other-components,,https://github.com/akiran/react-slick,https://github.com/akiran/react-slick,MIT,2014-11-16 05:14:39.000,2022-01-06 23:34:35.000,2021-12-11 17:16:06.000,1212.0,2.0,1914,124.0,604.0,410.0,1162.0,10104,2021-03-08 05:01:08.649,0.28.1,114.0,React carousel component.,164477.0,154264.0,148,37,https://www.npmjs.com/package/react-slick,2021-03-08 05:01:08.649,10213.0,2685857.0,2685857.0,,,,True,1,,,,,,,,,,,,,,,,,,,,,,,,,
55,Grommet,grommet/grommet,grommet,ui-frameworks,org.webjars.npm:grommet,https://github.com/grommet/grommet,https://github.com/grommet/grommet,Apache-2.0,2015-03-24 08:54:10.000,2022-01-11 00:23:54.000,2022-01-10 18:30:47.000,6157.0,123.0,938,134.0,3082.0,179.0,2642.0,7724,2022-01-06 18:15:36.000,2.20.0,139.0,"a react-based framework that provides accessibility, modularity, responsiveness, and theming in a tidy package.",8043.0,7312.0,323,37,https://www.npmjs.com/package/grommet,2022-01-06 18:15:18.068,731.0,77700.0,77727.0,https://search.maven.org/artifact/org.webjars.npm/grommet,2018-06-01 00:00:00.000,,True,2,,,https://v2.grommet.io/components,,,,,1847.0,,,,,,,,,,,,,,,,,
56,carbon,carbon-design-system/carbon,carbon-components-react,ui-frameworks,org.webjars.npm:carbon-components-react,https://github.com/carbon-design-system/carbon,https://github.com/carbon-design-system/carbon,Apache-2.0,2017-03-13 14:23:59.000,2022-01-11 02:20:57.000,2022-01-07 17:13:26.000,8415.0,170.0,1196,71.0,4805.0,521.0,4818.0,5062,2021-12-10 17:25:18.000,10.50.0,958.0,A design system built by IBM.,301.0,40.0,361,37,https://www.npmjs.com/package/carbon-components-react,2021-12-10 17:24:55.772,261.0,132138.0,132200.0,https://search.maven.org/artifact/org.webjars.npm/carbon-components-react,2019-08-15 00:00:00.000,,True,2,,,,,,,,1182.0,,,,,,,,,,,,,,,,,
57,React Chartjs 2,reactchartjs/react-chartjs-2,react-chartjs-2,data-viz,org.webjars.npm:react-chartjs-2,https://github.com/reactchartjs/react-chartjs-2,https://github.com/reactchartjs/react-chartjs-2,MIT,2016-05-06 22:01:08.000,2022-01-10 19:13:02.000,2021-12-27 08:40:53.000,442.0,144.0,914,48.0,344.0,122.0,541.0,4709,2021-11-22 20:38:25.000,4.0.0,74.0,"React components for Chart.js, the most popular charting library.",111707.0,107988.0,68,37,https://www.npmjs.com/package/react-chartjs-2,2021-11-22 20:36:55.002,3719.0,1456268.0,1456268.0,https://search.maven.org/artifact/org.webjars.npm/react-chartjs-2,2017-11-10 03:02:08.000,,True,2,,,https://reactchartjs.github.io/react-chartjs-2/,,,,,,,,,,,,,,,,,,,,,,
58,polaris-react,Shopify/polaris-react,@shopify/polaris,ui-frameworks,org.webjars.npm:shopify__polaris,https://github.com/Shopify/polaris-react,https://github.com/Shopify/polaris-react,MIT,2017-04-20 18:26:34.000,2022-01-10 22:27:48.000,2022-01-10 21:28:38.000,7121.0,108.0,871,331.0,2777.0,377.0,1759.0,4452,2021-12-16 16:37:58.000,7.5.0,414.0,Shopifys admin product component library.,3745.0,3576.0,301,37,https://www.npmjs.com/package/@shopify/polaris,2022-01-06 21:05:24.416,169.0,195012.0,195539.0,https://search.maven.org/artifact/org.webjars.npm/shopify__polaris,2019-12-28 00:00:00.000,,True,2,,,,,,,,18447.0,,,,,,,,,,,,,,,,,
59,primereact,primefaces/primereact,primereact,ui-frameworks,org.webjars.npm:primereact,https://github.com/primefaces/primereact,https://github.com/primefaces/primereact,MIT,2016-12-16 15:56:27.000,2022-01-10 12:03:06.000,2022-01-10 12:03:04.000,5182.0,275.0,526,75.0,366.0,227.0,1977.0,2410,2021-12-13 11:42:52.246,7.1.0,96.0,The Most Complete React UI Component Library.,7488.0,7266.0,129,37,https://www.npmjs.com/package/primereact,2021-12-13 11:42:52.246,222.0,144609.0,144609.0,https://search.maven.org/artifact/org.webjars.npm/primereact,2020-09-15 00:00:00.000,,True,2,,,,,,,,,,,,,,,,,,,,,,,,,
60,zustand,pmndrs/zustand,zustand,state-management,,https://github.com/pmndrs/zustand,https://github.com/pmndrs/zustand,MIT,2019-04-09 09:10:06.000,2022-01-10 14:16:37.000,2022-01-10 14:15:58.000,599.0,59.0,350,88.0,282.0,29.0,318.0,12800,2022-01-10 14:18:02.000,3.6.9,83.0,Bear necessities for state management in React.,11394.0,11300.0,81,36,https://www.npmjs.com/package/zustand,2021-11-16 14:27:22.215,94.0,906785.0,906785.0,,,,True,3,,,,,,,,,,,,,,,,,,,,,,,,,
61,React Suite,rsuite/rsuite,rsuite,ui-frameworks,,https://github.com/rsuite/rsuite,https://github.com/rsuite/rsuite,MIT,2016-06-06 02:27:46.000,2022-01-10 10:34:26.000,2022-01-10 09:28:17.000,2301.0,198.0,704,97.0,1483.0,116.0,602.0,6416,2022-01-06 10:51:18.000,5.4.4,250.0,A suite of React components .,5308.0,5159.0,66,36,https://www.npmjs.com/package/rsuite,2022-01-06 10:17:04.865,149.0,123462.0,123462.0,,,,True,3,,,https://rsuitejs.com/components/overview/,,,,,,,,,,,,,,,,,,,,,,
