,name,github_id,category,npm_id,github_url,homepage,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,npm_url,license,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,monthly_downloads,show,projectrank_placing,labels,demo_url,github_release_downloads,trending,updated_github_id,pypi_id,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads
20,Recharts,recharts/recharts,data-viz,recharts,https://github.com/recharts/recharts,https://github.com/recharts/recharts,2015-08-07 06:50:27.000,2021-07-29 16:41:59.000,2021-07-13 02:31:05.000,1276,219.0,1966.0,16731,1853.0,2021-07-13 02:31:20.327,2.0.10,179.0,Redefined chart library built with React and D3.,59116.0,52112.0,214,36,https://www.npmjs.com/package/recharts,MIT,2021-07-13 02:31:20.327,7004.0,2615885.0,2615885.0,True,1,,http://recharts.org/en-US/examples,,,,,,,,
21,react-table,tannerlinsley/react-table,data-tables,react-table,https://github.com/tannerlinsley/react-table,https://github.com/tannerlinsley/react-table,2016-10-20 17:25:08.000,2021-07-27 18:42:43.000,2021-06-09 14:08:15.000,1998,179.0,1761.0,14675,1390.0,2021-04-25 22:58:23.000,7.7.0,216.0,Hooks for building fast and extendable tables and datagrids for React.,39220.0,35680.0,266,36,https://www.npmjs.com/package/react-table,MIT,2021-04-25 22:58:20.146,3540.0,3032567.0,3032567.0,True,1,,,,,,,,,,
22,sweetalert2,sweetalert2/sweetalert2,other-components,sweetalert2,https://github.com/sweetalert2/sweetalert2,https://github.com/sweetalert2/sweetalert2,2015-01-03 16:15:52.000,2021-07-27 07:42:44.000,2021-07-27 07:42:43.000,1346,8.0,1407.0,13238,2595.0,2021-07-23 21:38:06.000,11.0.20,580.0,"A beautiful, responsive, highly customizable and accessible (WAI-ARIA) replacement for JavaScript's popup boxes. Zero..",111433.0,104541.0,114,36,https://www.npmjs.com/package/sweetalert2,MIT,2021-07-23 21:37:41.336,6892.0,1288627.0,1291806.0,True,1,,,44509.0,,,,,,,
23,Semantic UI React,Semantic-Org/Semantic-UI-React,ui-frameworks,semantic-ui-react,https://github.com/Semantic-Org/Semantic-UI-React,https://github.com/Semantic-Org/Semantic-UI-React,2015-06-19 16:47:19.000,2021-07-29 15:55:59.000,2021-07-28 12:07:05.000,3638,147.0,2274.0,12365,3070.0,2021-01-25 15:14:00.000,2.0.3,148.0,The official Semantic-UI-React integration.,140626.0,123696.0,310,36,https://www.npmjs.com/package/semantic-ui-react,MIT,2021-01-20 19:57:11.349,16930.0,939662.0,939662.0,True,2,,https://react.semantic-ui.com/elements/button/,,,,,,,,
24,react-slick,akiran/react-slick,other-components,react-slick,https://github.com/akiran/react-slick,https://github.com/akiran/react-slick,2014-11-16 05:14:39.000,2021-07-16 06:46:06.000,2021-03-08 05:01:23.000,1866,374.0,1149.0,9700,1209.0,2021-03-08 05:01:08.649,0.28.1,114.0,React carousel component.,151505.0,133111.0,148,36,https://www.npmjs.com/package/react-slick,MIT,2021-03-08 05:01:08.649,18394.0,3240601.0,3240601.0,True,1,,,,-1.0,,,,,,
25,React Dropzone,react-dropzone/react-dropzone,file-handling,react-dropzone,https://github.com/react-dropzone/react-dropzone,https://github.com/react-dropzone/react-dropzone,2014-09-27 11:57:09.000,2021-07-20 09:18:29.000,2021-06-25 04:12:04.000,703,13.0,648.0,8343,551.0,2021-06-25 04:04:03.000,11.3.4,147.0,Simple HTML5 drag-drop zone with React.js.,81427.0,71111.0,163,36,https://www.npmjs.com/package/react-dropzone,MIT,2021-06-25 04:04:00.853,10316.0,5951006.0,5951006.0,True,1,,https://react-dropzone.js.org/#section-basic-example,,,,,,,,
26,log4js-node,log4js-node/log4js-node,utils,log4js,https://github.com/log4js-node/log4js-node,https://github.com/log4js-node/log4js-node,2010-01-17 00:57:58.000,2021-07-14 13:06:30.000,2020-05-25 03:14:20.000,734,117.0,620.0,5056,1541.0,2020-05-24 23:01:08.195,6.3.0,134.0,A port of log4js to node.js.,1323612.0,1145642.0,159,36,https://www.npmjs.com/package/log4js,Apache-2.0,2020-05-24 23:01:08.195,177970.0,11020430.0,11020430.0,False,3,,,,,,,,,,
27,loglevel,pimterry/loglevel,utils,loglevel,https://github.com/pimterry/loglevel,https://github.com/pimterry/loglevel,2013-03-23 20:35:58.000,2021-06-16 12:15:38.000,2021-05-07 10:58:47.000,157,16.0,101.0,2046,286.0,2020-11-25 14:19:46.171,1.7.1,26.0,"Minimal lightweight logging for JavaScript, adding reliable log level methods to wrap any available console.log methods.",5484342.0,4905038.0,29,36,https://www.npmjs.com/package/loglevel,MIT,2020-11-25 14:19:46.171,579304.0,42826394.0,42826394.0,True,3,,,,,,,,,,
28,Electron,electron/electron,desktop-apps,electron,https://github.com/electron/electron,https://github.com/electron/electron,2013-04-12 01:47:36.000,2021-07-28 01:52:11.000,,12518,1226.0,,94595,,2021-07-15 19:38:18.046,13.1.7,566.0,"Build cross-platform desktop apps with JavaScript, HTML, and CSS.",46992.0,,647,35,https://www.npmjs.com/package/electron,MIT,2021-07-26 19:39:19.033,46992.0,1924358.0,1924358.0,True,1,,,,,,,,,,
29,lerna,lerna/lerna,dev-tools,lerna,https://github.com/lerna/lerna,https://github.com/lerna/lerna,2015-12-04 09:36:55.000,2021-07-28 10:04:38.000,2021-06-02 22:46:25.000,1879,654.0,1465.0,29236,,2021-02-10 22:42:55.000,4.0.0,184.0,A tool for managing JavaScript projects with multiple packages.,116596.0,88434.0,271,35,https://www.npmjs.com/package/lerna,MIT,2021-02-10 22:42:31.218,28162.0,4881490.0,4881490.0,True,2,,,,,,,,,,
