,name,github_id,category,npm_id,github_url,homepage,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,npm_url,license,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,monthly_downloads,show,projectrank_placing,labels,demo_url,trending,github_release_downloads,updated_github_id,pypi_id,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads
61,React Ace,securingsincity/react-ace,editors,react-ace,https://github.com/securingsincity/react-ace,https://github.com/securingsincity/react-ace,2014-11-29 05:15:14.000,2021-07-08 01:07:37.000,2021-06-06 18:02:48.000,524,114.0,284.0,3155,853.0,2021-06-06 01:33:51.714,9.4.1,93.0,React Ace Component.,16248.0,12668.0,116,31,https://www.npmjs.com/package/react-ace,MIT,2021-06-06 01:33:51.714,3580.0,1303470.0,1303482.0,True,2,,https://securingsincity.github.io/react-ace/,,901.0,,,,,,
62,Notistack,iamhosseindhv/notistack,notifications,notistack,https://github.com/iamhosseindhv/notistack,https://github.com/iamhosseindhv/notistack,2018-08-04 21:05:47.000,2021-07-13 23:20:05.000,2021-05-19 19:33:44.000,216,32.0,258.0,2162,475.0,2021-05-19 19:34:09.737,1.0.9,84.0,Highly customizable notification snackbars (toasts) that can be stacked on top of each other.,11663.0,11157.0,43,31,https://www.npmjs.com/package/notistack,MIT,2021-04-25 20:04:12.907,506.0,1390650.0,1390650.0,True,3,['material-ui'],https://iamhosseindhv.com/notistack/demos,,,,,,,,
63,primereact,primefaces/primereact,ui-frameworks,primereact,https://github.com/primefaces/primereact,https://github.com/primefaces/primereact,2016-12-16 15:56:27.000,2021-07-14 22:10:20.000,2021-07-14 22:10:20.000,463,184.0,1733.0,2115,4781.0,2021-06-28 11:20:02.000,6.5.0-rc.2,87.0,The Most Complete React UI Component Library.,6037.0,5709.0,113,31,https://www.npmjs.com/package/primereact,MIT,2021-06-28 11:25:35.904,328.0,151321.0,151321.0,True,2,,,,,,,,,,
64,blitz,blitz-js/blitz,cms-frameworks,blitz,https://github.com/blitz-js/blitz,https://github.com/blitz-js/blitz,2020-02-17 21:54:15.000,2021-07-15 15:30:30.000,2021-07-15 15:30:30.000,481,147.0,768.0,8595,212.0,2021-07-08 21:48:54.000,0.38.5,303.0,The Fullstack React Framework built on Next.js.,911.0,905.0,227,30,https://www.npmjs.com/package/blitz,MIT,2021-07-08 21:48:04.291,6.0,14185.0,14185.0,True,3,,,,,,,,,,
65,Rebass,rebassjs/rebass,ui-frameworks,rebass,https://github.com/rebassjs/rebass,https://github.com/rebassjs/rebass,2015-02-11 14:48:09.000,2021-07-01 14:29:32.000,2021-06-30 17:05:25.000,604,74.0,429.0,7393,2020.0,2019-10-28 19:08:45.057,4.0.7,109.0,React primitive UI components built with styled-system.,11186.0,9698.0,58,30,https://www.npmjs.com/package/rebass,MIT,2019-10-28 19:08:45.057,1488.0,273098.0,273098.0,True,2,,https://codesandbox.io/s/github/rebassjs/rebass/tree/master/examples/sandbox,,,,,,,,
66,redux-toolkit,reduxjs/redux-toolkit,state-management,redux-toolkit,https://github.com/reduxjs/redux-toolkit,https://github.com/reduxjs/redux-toolkit,2018-03-03 21:21:53.000,2021-07-13 10:25:37.000,2021-07-09 11:23:27.000,434,54.0,682.0,5890,1006.0,2021-06-07 13:52:37.000,1.6.0,58.0,"The official, opinionated, batteries-included toolset for efficient Redux development.",84585.0,84581.0,148,30,https://www.npmjs.com/package/redux-toolkit,MIT,2015-10-21 03:50:29.233,4.0,6267.0,6267.0,True,3,,,,,,,,,,
67,React Suite,rsuite/rsuite,ui-frameworks,rsuite,https://github.com/rsuite/rsuite,https://github.com/rsuite/rsuite,2016-06-06 02:27:46.000,2021-07-15 14:48:07.000,2021-07-15 06:23:32.000,577,153.0,426.0,5678,1640.0,2021-06-03 06:32:49.982,4.10.2,220.0,A suite of React components .,3808.0,3676.0,55,30,https://www.npmjs.com/package/rsuite,MIT,2021-06-15 09:27:19.049,132.0,68787.0,68787.0,True,2,,https://rsuitejs.com/components/overview/,,,,,,,,
68,BizCharts,alibaba/BizCharts,data-viz,bizcharts,https://github.com/alibaba/BizCharts,https://github.com/alibaba/BizCharts,2017-11-10 08:27:54.000,2021-07-13 06:11:41.000,2021-07-13 06:11:40.000,635,259.0,973.0,5652,962.0,2021-07-06 07:56:25.000,4.1.11,216.0,Powerful data visualization library based on G2 and React.,12294.0,11062.0,78,30,https://www.npmjs.com/package/bizcharts,MIT,2021-07-06 07:39:27.956,1232.0,120947.0,120947.0,True,2,,,,,,,,,,
69,react-quill,zenoamaro/react-quill,editors,react-quill,https://github.com/zenoamaro/react-quill,https://github.com/zenoamaro/react-quill,2014-11-07 12:25:40.000,2021-06-25 08:22:43.000,2020-11-12 19:24:58.000,636,187.0,404.0,4454,414.0,2020-03-29 19:25:46.394,1.3.5,46.0,A Quill component for React.,16731.0,15177.0,51,30,https://www.npmjs.com/package/react-quill,MIT,2020-03-29 18:18:10.355,1554.0,789344.0,789346.0,True,2,,,,179.0,,,,,,
70,react-monaco-editor,react-monaco-editor/react-monaco-editor,editors,react-monaco-editor,https://github.com/react-monaco-editor/react-monaco-editor,https://github.com/react-monaco-editor/react-monaco-editor,2016-09-05 07:11:05.000,2021-07-14 22:33:36.000,2021-03-30 15:09:15.000,272,22.0,227.0,2301,349.0,2021-03-15 17:34:44.054,0.43.0,69.0,Monaco Editor for React.,10036.0,9440.0,60,30,https://www.npmjs.com/package/react-monaco-editor,MIT,2021-03-15 17:34:44.054,596.0,298420.0,298420.0,True,2,,,1.0,,,,,,,
71,MUI-Datatables,gregnb/mui-datatables,data-tables,mui-datatables,https://github.com/gregnb/mui-datatables,https://github.com/gregnb/mui-datatables,2017-11-04 19:49:44.000,2021-07-13 20:55:59.000,2021-04-03 07:24:59.000,737,480.0,776.0,2071,925.0,2021-04-03 07:27:55.000,3.7.7,143.0,Datatables for React using Material-UI - https://www.material-ui-datatables.com.,5334.0,5080.0,129,30,https://www.npmjs.com/package/mui-datatables,MIT,2021-04-03 07:27:06.513,254.0,204262.0,204262.0,True,2,['material-ui'],,,,,,,,,
72,docz,pedronauck/docz,dev-tools,docz,https://github.com/doczjs/docz,https://github.com/doczjs/docz,2018-03-17 04:24:10.000,2021-06-03 23:30:47.000,2021-06-03 19:42:39.000,1327,82.0,1104.0,21480,,2020-04-05 08:58:58.000,2.3.1,273.0,It has never been so easy to document your things!.,6820.0,5448.0,127,29,https://www.npmjs.com/package/docz,MIT,2020-04-07 10:55:25.773,1372.0,135046.0,135046.0,True,2,,,,,doczjs/docz,,,,,
73,relay,facebook/relay,data-fetching,relay,https://github.com/facebook/relay,https://github.com/facebook/relay,2015-08-10 22:09:16.000,2021-07-15 17:50:33.000,2021-07-15 17:40:30.000,1606,329.0,1493.0,15803,,2021-04-15 17:38:20.000,11.0.2,65.0,Relay is a JavaScript framework for building data-driven React applications.,4428.0,4350.0,591,29,https://www.npmjs.com/package/relay,MIT,2013-04-14 20:53:10.498,78.0,1682.0,1682.0,True,3,,,,,,,,,,
74,visx,airbnb/visx,data-viz,@visx/group,https://github.com/airbnb/visx,https://github.com/airbnb/visx,2017-03-15 16:25:41.000,2021-07-15 13:28:44.000,2021-07-08 20:18:01.000,506,92.0,476.0,13616,2942.0,2021-03-08 20:16:56.000,1.6.1,76.0,visx | visualization components.,58.0,58.0,116,29,https://www.npmjs.com/package/@visx/group,MIT,2021-03-08 20:10:00.881,0.0,246552.0,246552.0,True,2,,https://airbnb.io/visx/gallery,,,,,,,,
75,fluentui,microsoft/fluentui,ui-frameworks,@fluentui/react,https://github.com/microsoft/fluentui,https://github.com/microsoft/fluentui,2016-06-06 15:03:44.000,2021-07-15 17:52:16.000,2021-07-15 15:49:05.000,1949,889.0,7126.0,11747,11410.0,2021-07-15 07:39:07.000,@fluentui/azure-themes_v8.1.38,355.0,"Fluent UI web represents a collection of utilities, React components, and web components for building web applications.",4.0,4.0,681,29,https://www.npmjs.com/package/@fluentui/react,MIT,2021-07-15 07:32:50.916,0.0,241884.0,241884.0,True,3,,,,,,,,,,
