,name,github_id,category,npm_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,monthly_downloads,show,projectrank_placing,labels,trending,demo_url,github_release_downloads,updated_github_id,pypi_id,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads
49,Slate,ianstormtaylor/slate,editors,slate,https://github.com/ianstormtaylor/slate,https://github.com/ianstormtaylor/slate,MIT,2016-06-18 01:52:42.000,2021-08-12 16:42:37.000,2021-08-12 14:04:14.000,2349,446.0,2212.0,21908,,2021-08-10 17:16:13.000,slate@0.65.3,539.0,A completely customizable framework for building rich text editors. (Currently in beta.).,68375.0,61377.0,424,32,https://www.npmjs.com/package/slate,2021-04-01 02:10:51.453,6998.0,786230.0,786230.0,True,1,,,https://www.slatejs.org/examples/richtext,,,,,,,
50,Blueprint,palantir/blueprint,ui-frameworks,@blueprintjs/core,https://github.com/palantir/blueprint,https://github.com/palantir/blueprint,Apache-2.0,2016-10-25 21:17:50.000,2021-08-12 04:08:47.000,2021-08-12 04:08:46.000,1897,615.0,1892.0,18045,,2021-07-15 17:20:56.472,3.47.0,149.0,A React-based UI toolkit for the web.,11709.0,9631.0,284,32,https://www.npmjs.com/package/@blueprintjs/core,2021-04-13 17:30:43.042,2078.0,618537.0,618537.0,True,2,,,https://blueprintjs.com/docs/,,,,,,,
51,emotion,emotion-js/emotion,styling,@emotion/react,https://github.com/emotion-js/emotion,https://github.com/emotion-js/emotion,MIT,2017-05-27 04:23:45.000,2021-08-10 13:27:37.000,2021-08-08 09:37:48.000,859,141.0,1193.0,13448,,2021-08-08 09:40:42.000,@emotion/sheet@1.0.2,100.0,CSS-in-JS library designed for high performance style composition.,20841.0,20841.0,261,32,https://www.npmjs.com/package/@emotion/react,2021-08-08 09:40:38.740,0.0,4803528.0,4803528.0,True,3,,,,,,,,,,
52,zustand,pmndrs/zustand,state-management,zustand,https://github.com/pmndrs/zustand,https://github.com/pmndrs/zustand,MIT,2019-04-09 09:10:06.000,2021-07-30 12:48:33.000,2021-07-23 22:02:16.000,257,31.0,227.0,10095,512.0,2021-07-13 23:49:05.000,3.5.7,59.0,Bear necessities for state management in React.,5229.0,5209.0,72,32,https://www.npmjs.com/package/zustand,2021-06-09 00:28:50.157,20.0,472298.0,472298.0,True,2,,1.0,,,,,,,,
53,Grommet,grommet/grommet,ui-frameworks,grommet,https://github.com/grommet/grommet,https://github.com/grommet/grommet,Apache-2.0,2015-03-24 08:54:10.000,2021-08-12 17:49:01.000,2021-08-11 19:39:15.000,901,207.0,2471.0,7418,5950.0,2021-07-27 20:13:10.000,2.17.4,134.0,"a react-based framework that provides accessibility, modularity, responsiveness, and theming in a tidy package.",8020.0,6788.0,302,32,https://www.npmjs.com/package/grommet,2021-07-27 20:10:32.885,1232.0,100513.0,100542.0,True,2,,,https://v2.grommet.io/components,1887.0,,,,,,
54,react-json-view,mac-s-g/react-json-view,file-handling,react-json-view,https://github.com/mac-s-g/react-json-view,https://github.com/mac-s-g/react-json-view,MIT,2017-03-26 06:01:36.000,2021-08-12 09:42:33.000,2021-03-09 03:27:31.000,292,108.0,89.0,2173,732.0,2021-03-09 03:08:46.252,1.21.3,111.0,JSON viewer for react.,19164.0,18170.0,33,32,https://www.npmjs.com/package/react-json-view,2021-03-09 03:08:46.252,994.0,1080930.0,1080930.0,True,2,,,https://mac-s-g.github.io/react-json-view/demo/dist/,,,,,,,
55,editor.js,codex-team/editor.js,editors,@editorjs/editorjs,https://github.com/codex-team/editor.js,https://github.com/codex-team/editor.js,Apache-2.0,2015-11-28 20:56:35.000,2021-08-10 22:32:39.000,2021-08-07 11:17:31.000,1219,393.0,597.0,16081,523.0,2021-07-21 19:19:41.654,2.22.2,39.0,A block-styled editor with clean JSON output.,2180.0,2106.0,36,31,https://www.npmjs.com/package/@editorjs/editorjs,2021-07-21 19:19:41.654,74.0,65573.0,65602.0,True,2,,,,1618.0,,,,,,
56,sql.js,sql-js/sql.js,others,sql.js,https://github.com/sql-js/sql.js,https://github.com/sql-js/sql.js,MIT,2012-02-27 03:05:49.000,2021-08-12 13:06:18.000,2021-08-12 12:57:29.000,883,96.0,256.0,9070,476.0,2021-08-12 13:01:09.859,1.6.1,32.0,A javascript library to run SQLite on the web.,4008.0,3210.0,41,31,https://www.npmjs.com/package/sql.js,2021-08-12 13:01:09.859,798.0,241764.0,242360.0,True,2,,,,12528.0,,,,,,
57,Victory,FormidableLabs/victory,data-viz,victory,https://github.com/FormidableLabs/victory,https://github.com/FormidableLabs/victory,MIT,2015-07-02 22:36:50.000,2021-08-11 21:31:18.000,2021-08-04 20:20:37.000,446,160.0,1242.0,9016,,2021-08-04 16:13:51.054,35.10.0,205.0,A collection of composable React components for building interactive data visualizations.,11136.0,9764.0,234,31,https://www.npmjs.com/package/victory,2021-08-04 16:13:51.054,1372.0,581798.0,581798.0,True,2,,,https://formidable.com/open-source/victory/gallery/,,,,,,,
58,baseweb,uber/baseweb,ui-frameworks,baseui,https://github.com/uber/baseweb,https://github.com/uber/baseweb,MIT,2018-03-09 01:32:10.000,2021-08-11 11:01:21.000,2021-08-10 20:57:31.000,591,115.0,721.0,6653,2860.0,2021-07-26 23:46:16.140,10.0.0,570.0,A React Component library implementing the Base design language.,2140.0,2096.0,205,31,https://www.npmjs.com/package/baseui,2021-07-26 23:46:16.140,44.0,133639.0,133639.0,True,2,,,,,,,,,,
59,redux-toolkit,reduxjs/redux-toolkit,state-management,redux-toolkit,https://github.com/reduxjs/redux-toolkit,https://github.com/reduxjs/redux-toolkit,MIT,2018-03-03 21:21:53.000,2021-08-11 06:50:14.000,2021-08-11 06:50:14.000,454,71.0,723.0,6064,1038.0,2021-07-17 23:47:39.000,1.6.1,59.0,"The official, opinionated, batteries-included toolset for efficient Redux development.",94512.0,94508.0,157,31,https://www.npmjs.com/package/redux-toolkit,2015-10-21 03:50:29.233,4.0,6584.0,6584.0,True,3,,,,,,,,,,
60,React Suite,rsuite/rsuite,ui-frameworks,rsuite,https://github.com/rsuite/rsuite,https://github.com/rsuite/rsuite,MIT,2016-06-06 02:27:46.000,2021-08-12 12:04:10.000,2021-08-12 09:45:00.000,593,153.0,437.0,5767,1641.0,2021-06-03 06:32:49.982,4.10.2,227.0,A suite of React components .,4041.0,3909.0,55,31,https://www.npmjs.com/package/rsuite,2021-08-08 14:52:09.412,132.0,99628.0,99628.0,True,2,,,https://rsuitejs.com/components/overview/,,,,,,,
61,react-draft-wysiwyg,jpuri/react-draft-wysiwyg,editors,react-draft-wysiwyg,https://github.com/jpuri/react-draft-wysiwyg,https://github.com/jpuri/react-draft-wysiwyg,MIT,2016-09-04 18:33:34.000,2021-08-11 01:53:21.000,2021-05-05 01:18:14.000,942,547.0,359.0,5204,826.0,2021-05-05 01:18:31.148,1.14.7,130.0,A Wysiwyg editor build on top of ReactJS and DraftJS. https://jpuri.github.io/react-draft-wysiwyg.,16129.0,14557.0,83,31,https://www.npmjs.com/package/react-draft-wysiwyg,2021-05-05 01:18:31.148,1572.0,782876.0,782876.0,True,2,,,,,,,,,,
