,name,github_id,npm_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,monthly_downloads,show,projectrank_placing,labels,demo_url,github_release_downloads,trending,pypi_id,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads
20,React-Toastify,fkhadra/react-toastify,react-toastify,notifications,https://github.com/fkhadra/react-toastify,https://github.com/fkhadra/react-toastify,MIT,2016-11-08 12:32:52.000,2021-02-01 13:48:23.000,2021-02-01 11:49:03.000,336,17.0,399.0,6364,1025.0,2021-02-01 13:53:05.000,7.0.3,114.0,React notification made easy !.,79820.0,73884.0,67.0,33,https://www.npmjs.com/package/react-toastify,2021-01-28 19:17:22.281,5936.0,2383328.0,2383328.0,True,1,,https://fkhadra.github.io/react-toastify/introduction/,,,,,,,
21,docz,doczjs/docz,docz,dev-tools,https://github.com/doczjs/docz,https://github.com/doczjs/docz,MIT,2018-03-17 04:24:10.000,2021-02-22 04:04:20.000,2020-11-19 15:31:27.000,1230,63.0,1096.0,19894,1581.0,2020-04-05 08:58:58.000,2.3.1,273.0,It has never been so easy to document your things!.,6429.0,5057.0,122.0,32,https://www.npmjs.com/package/docz,2020-04-07 10:55:25.773,1372.0,229459.0,229459.0,True,2,,,,,,,,,
22,Blueprint,palantir/blueprint,@blueprintjs/core,ui-frameworks,https://github.com/palantir/blueprint,https://github.com/palantir/blueprint,Apache-2.0,2016-10-25 21:17:50.000,2021-02-25 17:57:05.000,2021-02-25 17:57:03.000,1803,550.0,1803.0,17370,,2021-02-18 19:54:42.244,3.39.0,136.0,A React-based UI toolkit for the web.,10638.0,8560.0,271.0,32,https://www.npmjs.com/package/@blueprintjs/core,2021-02-18 19:54:42.244,2078.0,659496.0,659496.0,True,3,,https://blueprintjs.com/docs/,,,,,,,
23,Handsontable,handsontable/handsontable,handsontable,data-tables,https://github.com/handsontable/handsontable,https://github.com/handsontable/handsontable,ICU,2011-05-23 22:38:58.000,2021-02-25 17:07:48.000,2021-02-10 11:31:06.000,2568,610.0,5795.0,14816,6977.0,2021-02-10 11:37:18.000,8.3.1,100.0,"JavaScript data grid with a spreadsheet look & feel. Works for React, Angular, and Vue.",4181.0,3457.0,116.0,32,https://www.npmjs.com/package/handsontable,2021-02-10 11:36:40.612,724.0,233676.0,233676.0,False,1,,https://handsontable.com/examples,,,,,,,
24,nivo,plouc/nivo,@nivo/core,data-viz,https://github.com/plouc/nivo,https://github.com/plouc/nivo,MIT,2016-04-16 03:27:56.000,2021-02-24 13:55:49.000,2021-01-07 23:30:49.000,631,159.0,834.0,8362,1229.0,2020-11-27 14:36:21.000,0.66.0,49.0,"nivo provides a rich set of dataviz components, built on top of the awesome d3 and Reactjs libraries.",1269.0,967.0,121.0,32,https://www.npmjs.com/package/@nivo/core,2020-11-27 14:33:04.742,302.0,643334.0,643334.0,True,1,,https://nivo.rocks/components/,,,,,,,
25,Grommet,grommet/grommet,grommet,ui-frameworks,https://github.com/grommet/grommet,https://github.com/grommet/grommet,Apache-2.0,2015-03-24 08:54:10.000,2021-02-25 18:05:00.000,2021-02-24 23:35:18.000,845,184.0,2280.0,7062,5699.0,2021-02-04 17:54:00.000,2.16.3,128.0,"a react-based framework that provides accessibility, modularity, responsiveness, and theming in a tidy package.",7254.0,6022.0,278.0,32,https://www.npmjs.com/package/grommet,2020-12-15 00:29:35.837,1232.0,102060.0,102088.0,True,3,,https://v2.grommet.io/components,1684.0,,,,,,
26,React Chartjs 2,reactchartjs/react-chartjs-2,react-chartjs-2,data-viz,https://github.com/reactchartjs/react-chartjs-2,https://github.com/reactchartjs/react-chartjs-2,MIT,2016-05-06 22:01:08.000,2021-02-09 10:50:30.000,2020-11-28 04:12:38.000,659,140.0,359.0,3690,227.0,2020-11-06 12:38:11.000,2.11.1,62.0,React wrapper for Chart.js.,73808.0,67084.0,57.0,32,https://www.npmjs.com/package/react-chartjs-2,2020-11-06 06:02:07.189,6724.0,1444791.0,1444791.0,True,1,,https://reactchartjs.github.io/react-chartjs-2/,,,,,,,
27,material-table,mbrn/material-table,material-table,data-tables,https://github.com/mbrn/material-table,https://github.com/mbrn/material-table,MIT,2018-08-06 13:15:08.000,2021-02-19 14:54:59.000,2020-11-17 09:07:01.000,853,333.0,2011.0,2852,1573.0,2020-08-23 16:38:26.000,1.69.0,184.0,Datatable for React based on material-ui's table with additional features.,13069.0,12541.0,198.0,32,https://www.npmjs.com/package/material-table,2020-08-23 16:32:05.989,528.0,526262.0,526262.0,True,1,['material-ui'],,,,,,,,
28,Victory,FormidableLabs/victory,victory,data-viz,https://github.com/FormidableLabs/victory,https://github.com/FormidableLabs/victory,MIT,2015-07-02 22:36:50.000,2021-02-22 21:15:58.000,2021-02-22 21:15:56.000,413,157.0,1167.0,8688,,2021-02-13 03:53:27.849,35.4.9,179.0,A collection of composable React components for building interactive data visualizations.,9235.0,7863.0,234.0,31,https://www.npmjs.com/package/victory,2021-02-13 03:53:27.849,1372.0,660651.0,660651.0,True,2,,https://formidable.com/open-source/victory/gallery/,,,,,,,
29,React Ace,securingsincity/react-ace,react-ace,editors,https://github.com/securingsincity/react-ace,https://github.com/securingsincity/react-ace,MIT,2014-11-29 05:15:14.000,2021-02-24 05:13:58.000,2021-02-02 02:29:13.000,489,115.0,279.0,2958,853.0,2021-02-01 03:31:32.000,9.3.0,90.0,React Ace Component.,14496.0,10916.0,114.0,31,https://www.npmjs.com/package/react-ace,2020-12-07 01:05:37.310,3580.0,1284922.0,1284933.0,True,2,,https://securingsincity.github.io/react-ace/,811.0,,,,,,
30,react-json-view,mac-s-g/react-json-view,react-json-view,file-handling,https://github.com/mac-s-g/react-json-view,https://github.com/mac-s-g/react-json-view,MIT,2017-03-26 06:01:36.000,2021-02-23 00:05:08.000,2021-02-05 23:19:57.000,272,95.0,81.0,1911,719.0,2021-02-05 23:24:49.551,1.21.1,109.0,JSON viewer for react.,11930.0,10936.0,30.0,31,https://www.npmjs.com/package/react-json-view,2021-02-05 23:24:49.551,994.0,1137946.0,1137946.0,True,2,,https://mac-s-g.github.io/react-json-view/demo/dist/,,,,,,,
31,Notistack,iamhosseindhv/notistack,notistack,notifications,https://github.com/iamhosseindhv/notistack,https://github.com/iamhosseindhv/notistack,MIT,2018-08-04 21:05:47.000,2021-02-23 22:26:53.000,2021-02-23 22:26:46.000,170,25.0,215.0,1828,468.0,2020-12-23 13:51:05.758,1.0.3,70.0,Highly customizable notification snackbars (toasts) that can be stacked on top of each other.,8631.0,8125.0,42.0,31,https://www.npmjs.com/package/notistack,2020-12-23 13:55:56.195,506.0,1007711.0,1007711.0,True,3,['material-ui'],https://iamhosseindhv.com/notistack/demos,,,,,,,
32,Rebass,rebassjs/rebass,rebass,ui-frameworks,https://github.com/rebassjs/rebass,https://github.com/rebassjs/rebass,MIT,2015-02-11 14:48:09.000,2021-02-21 14:37:34.000,2020-12-10 18:28:48.000,521,42.0,428.0,7147,2008.0,2019-10-28 19:08:45.057,4.0.7,109.0,React primitive UI components built with styled-system.,9223.0,7735.0,58.0,30,https://www.npmjs.com/package/rebass,2019-10-28 19:08:45.057,1488.0,383024.0,383024.0,True,3,,https://codesandbox.io/s/github/rebassjs/rebass/tree/master/examples/sandbox,,,,,,,
33,BizCharts,alibaba/BizCharts,bizcharts,data-viz,https://github.com/alibaba/BizCharts,https://github.com/alibaba/BizCharts,MIT,2017-11-10 08:27:54.000,2021-02-24 08:43:22.000,2021-02-07 02:35:08.000,604,235.0,951.0,5514,930.0,2021-02-07 05:58:56.000,4.1.7,205.0,Powerful data visualization library based on G2 and React.,11659.0,10427.0,75.0,30,https://www.npmjs.com/package/bizcharts,2021-02-07 02:46:45.312,1232.0,137041.0,137041.0,True,2,,,,,,,,,
34,react-monaco-editor,react-monaco-editor/react-monaco-editor,react-monaco-editor,editors,https://github.com/react-monaco-editor/react-monaco-editor,https://github.com/react-monaco-editor/react-monaco-editor,MIT,2016-09-05 07:11:05.000,2021-02-04 16:56:38.000,2021-02-04 16:56:33.000,261,17.0,213.0,2081,345.0,2020-12-22 15:15:49.340,0.41.2,67.0,Monaco Editor for React.,9490.0,8894.0,59.0,30,https://www.npmjs.com/package/react-monaco-editor,2020-12-22 15:15:49.340,596.0,350303.0,350303.0,True,2,,,,,,,,,
35,MUI-Datatables,gregnb/mui-datatables,mui-datatables,data-tables,https://github.com/gregnb/mui-datatables,https://github.com/gregnb/mui-datatables,MIT,2017-11-04 19:49:44.000,2021-02-19 14:19:44.000,2021-02-19 11:47:52.000,664,417.0,762.0,1898,920.0,2021-02-05 12:22:17.000,3.7.6,142.0,Datatables for React using Material-UI - https://www.material-ui-datatables.com.,4287.0,4033.0,129.0,30,https://www.npmjs.com/package/mui-datatables,2021-02-05 12:21:15.302,254.0,191021.0,191021.0,True,2,['material-ui'],,,,,,,,
36,Evergreen,segmentio/evergreen,evergreen-ui,ui-frameworks,https://github.com/segmentio/evergreen,https://github.com/segmentio/evergreen,MIT,2017-07-30 10:03:14.000,2021-02-24 22:28:07.000,2020-12-04 22:52:34.000,599,68.0,288.0,10509,707.0,2020-09-28 15:23:38.000,5.1.2,199.0,Evergreen React UI Framework by Segment.,2116.0,1966.0,107.0,29,https://www.npmjs.com/package/evergreen-ui,2021-02-24 22:08:53.141,150.0,29059.0,29059.0,True,3,,,,,,,,,
37,React-Move,sghall/react-move,react-move,animations,https://github.com/sghall/react-move,https://github.com/sghall/react-move,MIT,2017-03-20 15:38:13.000,2021-02-03 23:14:08.000,2021-02-03 23:11:22.000,188,5.0,34.0,6261,508.0,2020-06-30 01:48:33.306,6.3.0,58.0,"React Move | Beautiful, data-driven animations for React.",4107.0,3461.0,12.0,29,https://www.npmjs.com/package/react-move,2020-06-30 01:48:33.306,646.0,474729.0,474729.0,True,1,,https://react-move-docs.netlify.app/#/demos/node-group,,,,,,,
38,React Suite,rsuite/rsuite,rsuite,ui-frameworks,https://github.com/rsuite/rsuite,https://github.com/rsuite/rsuite,MIT,2016-06-06 02:27:46.000,2021-02-24 14:43:26.000,2021-02-24 09:27:49.000,485,120.0,380.0,5265,1639.0,2021-02-24 04:00:39.108,4.9.0,209.0,A suite of React components .,2705.0,2573.0,50.0,29,https://www.npmjs.com/package/rsuite,2021-02-23 07:44:05.660,132.0,58273.0,58273.0,True,3,,https://rsuitejs.com/components/overview/,,,,,,,
39,react-csv,react-csv/react-csv,react-csv,file-handling,https://github.com/react-csv/react-csv,https://github.com/react-csv/react-csv,MIT,2016-11-25 12:55:39.000,2021-02-23 19:46:01.000,2020-07-09 05:32:23.000,195,89.0,112.0,716,164.0,2020-04-01 19:55:11.000,2.0.3,30.0,React components to build CSV files on the fly basing on Array/literal object of data.,6023.0,5501.0,26.0,29,https://www.npmjs.com/package/react-csv,2020-04-01 16:36:39.880,522.0,928296.0,928296.0,True,3,,,,,,,,,
40,Ant Design Pro,ant-design/ant-design-pro,,admin-dashboards,https://github.com/ant-design/ant-design-pro,https://github.com/ant-design/ant-design-pro,MIT,2017-08-25 10:40:44.000,2021-02-25 09:50:08.000,2021-02-25 09:38:16.000,6517,63.0,6702.0,28409,2270.0,2020-12-18 07:06:21.000,4.3.0,22.0,Use Ant Design like a Pro!.,2103.0,2103.0,275.0,28,,,,,,True,2,['ant-design'],https://preview.pro.ant.design/,,,,,,,
41,react-virtualized,vaughn/react-virtualized,react-virtualized,data-tables,,https://github.com/bvaughn/react-virtualized,MIT,,2018-06-01 16:00:52.806,,2593,,,21002,,2020-12-18 22:16:25.269,9.22.3,294.0,"React components for efficiently rendering large, scrollable lists and tabular data.",5456.0,,,28,https://www.npmjs.com/package/react-virtualized,2018-06-01 16:00:52.806,5456.0,3405258.0,3405258.0,False,2,,https://bvaughn.github.io/react-virtualized/#/components/List,,1.0,,,,,
42,visx,airbnb/visx,@visx/group,data-viz,https://github.com/airbnb/visx,https://github.com/airbnb/visx,MIT,2017-03-15 16:25:41.000,2021-02-24 22:31:58.000,2021-02-24 19:20:37.000,461,82.0,420.0,12556,2835.0,2021-02-18 22:22:00.000,1.6.0,75.0,visx | visualization components.,24.0,24.0,105.0,28,https://www.npmjs.com/package/@visx/group,2020-09-22 03:46:23.009,0.0,118210.0,118210.0,True,3,,https://airbnb.io/visx/gallery,,,,,,,
