,name,github_id,npm_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,monthly_downloads,show,projectrank_placing,demo_url,github_release_downloads,trending,updated_github_id,pypi_id,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads
105,react-digraph,uber/react-digraph,react-digraph,,editors,https://github.com/uber/react-digraph,https://github.com/uber/react-digraph,MIT,2016-11-11 07:43:00.000,2022-01-02 16:18:54.000,2021-09-25 04:17:54.000,250,77.0,100.0,2231,460.0,2021-09-25 04:40:42.000,8.0.0-beta.8,96.0,A library for creating directed graph editors.,283.0,251.0,45,27,https://www.npmjs.com/package/react-digraph,2021-09-25 04:27:21.587,32.0,16023.0,16023.0,True,3,,,1.0,,,,,,
106,material-ui-chip-input,TeamWertarbyte/material-ui-chip-input,material-ui-chip-input,['material-ui'],other-components,https://github.com/TeamWertarbyte/material-ui-chip-input,https://github.com/TeamWertarbyte/material-ui-chip-input,MIT,2016-09-07 16:47:10.000,2021-10-21 14:50:06.000,2020-09-08 13:18:49.000,193,38.0,237.0,726,305.0,2019-12-01 15:35:30.000,1.1.0,73.0,A chip input field using Material-UI.,5636.0,4810.0,51,27,https://www.npmjs.com/package/material-ui-chip-input,2019-12-01 15:47:13.811,826.0,205893.0,205893.0,False,3,https://mui.wertarbyte.com/#material-ui-chip-input,,,,,,,,
107,why-did-you-render,welldone-software/why-did-you-render,why-did-you-render,,dev-tools,https://github.com/welldone-software/why-did-you-render,https://github.com/welldone-software/why-did-you-render,MIT,2018-11-10 19:31:09.000,2022-01-06 00:01:56.000,2021-11-14 16:36:21.000,128,16.0,148.0,7772,410.0,2021-11-14 16:43:54.000,6.2.3,81.0,why-did-you-render by Welldone Software monkey patches React to notify you about potentially avoidable re-renders...,4699.0,4699.0,28,26,https://www.npmjs.com/package/why-did-you-render,2020-05-17 14:12:57.191,,212.0,212.0,True,3,,,,,,,,,
108,React-Datasheet,nadbm/react-datasheet,react-datasheet,,data-tables,https://github.com/nadbm/react-datasheet,https://github.com/nadbm/react-datasheet,MIT,2016-09-25 19:18:17.000,2021-10-17 09:53:27.000,2021-08-05 02:48:08.000,456,116.0,97.0,4878,277.0,2021-02-14 04:56:00.552,1.4.9,46.0,Excel-like data grid (table) component for React.,670.0,610.0,44,26,https://www.npmjs.com/package/react-datasheet,2021-02-14 04:56:00.552,60.0,101506.0,101506.0,True,3,,,,,,,,,
109,searchkit,searchkit/searchkit,searchkit,,other-components,https://github.com/searchkit/searchkit,https://github.com/searchkit/searchkit,Apache-2.0,2015-11-19 18:27:43.000,2022-01-04 12:40:48.000,2021-11-14 11:53:04.000,408,39.0,531.0,4349,,2021-11-03 19:04:48.000,3.0.0-canary.46,93.0,GraphQL API & React UI components for Elasticsearch. The easiest way to build a great search experience.,893.0,607.0,53,26,https://www.npmjs.com/package/searchkit,2021-01-13 21:30:25.068,286.0,11157.0,11157.0,True,3,,,,,,,,,
110,dnd-kit,clauderic/dnd-kit,@dnd-kit/core,,other-components,https://github.com/clauderic/dnd-kit,https://github.com/clauderic/dnd-kit,MIT,2020-11-26 00:46:52.000,2022-01-05 21:47:57.000,2022-01-05 03:29:13.000,147,101.0,222.0,3555,318.0,2021-12-14 01:05:22.000,@dnd-kit/utilities@3.0.2,63.0,"A modern, lightweight, performant, accessible and extensible drag & drop toolkit for React.",310.0,310.0,29,26,https://www.npmjs.com/package/@dnd-kit/core,2022-01-04 22:21:57.706,0.0,407039.0,407039.0,True,3,,,,,,,,,
111,react-refetch,heroku/react-refetch,react-refetch,,data-fetching,https://github.com/heroku/react-refetch,https://github.com/heroku/react-refetch,MIT,2015-11-11 21:02:02.000,2021-10-12 14:35:48.000,2021-10-12 14:35:48.000,151,37.0,102.0,3418,639.0,2019-10-28 22:11:40.841,3.0.1,82.0,"A simple, declarative, and composable way to fetch data for React components.",1071.0,757.0,71,26,https://www.npmjs.com/package/react-refetch,2020-01-20 05:17:56.980,314.0,22847.0,22847.0,True,3,,,,,,,,,
112,tabler-react,tabler/tabler-react,tabler-react,,ui-frameworks,https://github.com/tabler/tabler-react,https://github.com/tabler/tabler-react,MIT,2018-04-12 21:32:09.000,2021-09-21 03:55:23.000,2021-03-07 23:12:06.000,449,71.0,147.0,1836,1363.0,2019-06-04 21:54:09.577,1.30.1,66.0,React components and demo for the Tabler UI theme.,666.0,624.0,34,26,https://www.npmjs.com/package/tabler-react,2019-06-30 13:10:01.077,42.0,9007.0,9007.0,True,3,,,,,,,,,
113,restful-react,contiamo/restful-react,restful-react,,data-fetching,https://github.com/contiamo/restful-react,https://github.com/contiamo/restful-react,MIT,2018-06-29 12:52:25.000,2021-12-27 22:34:30.000,2021-12-27 22:34:17.000,107,37.0,126.0,1822,618.0,2021-12-27 22:28:09.722,15.9.4,194.0,"A consistent, declarative way of interacting with RESTful backends, featuring code-generation from Swagger and OpenAPI..",315.0,307.0,49,26,https://www.npmjs.com/package/restful-react,2021-12-27 22:28:09.722,8.0,44074.0,44074.0,True,3,,,,,,,,,
114,react-mde,andrerpena/react-mde,react-mde,,editors,https://github.com/andrerpena/react-mde,https://github.com/andrerpena/react-mde,MIT,2016-11-26 18:10:16.000,2021-07-04 22:19:50.000,2021-07-04 22:19:50.000,147,58.0,144.0,1301,765.0,2021-05-04 08:58:15.604,11.5.0,111.0,React Markdown Editor.,1772.0,1634.0,50,26,https://www.npmjs.com/package/react-mde,2021-05-04 08:58:15.604,138.0,123287.0,123287.0,True,3,http://andrerpena.me/react-mde/,,,,,,,,
