,name,github_id,npm_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,monthly_downloads,show,projectrank_placing,demo_url,trending,github_release_downloads,updated_github_id,pypi_id,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads
20,Slate,ianstormtaylor/slate,slate,,editors,https://github.com/ianstormtaylor/slate,https://github.com/ianstormtaylor/slate,MIT,2016-06-18 01:52:42.000,2021-06-30 02:56:03.000,2021-06-09 16:04:11.000,2344,444.0,2199.0,21105,,2021-06-09 16:07:36.000,slate-react@0.65.2,509.0,A completely customizable framework for building rich text editors. (Currently in beta.).,66958.0,59960.0,406.0,32,https://www.npmjs.com/package/slate,2021-04-01 02:10:51.453,6998.0,885918.0,885918.0,True,2,https://www.slatejs.org/examples/richtext,,,,,,,,
21,Blueprint,palantir/blueprint,@blueprintjs/core,,ui-frameworks,https://github.com/palantir/blueprint,https://github.com/palantir/blueprint,Apache-2.0,2016-10-25 21:17:50.000,2021-07-01 17:02:20.000,2021-06-29 17:54:14.000,1883,587.0,1880.0,17927,,2021-06-22 20:26:53.857,3.46.0,148.0,A React-based UI toolkit for the web.,11485.0,9407.0,282.0,32,https://www.npmjs.com/package/@blueprintjs/core,2021-04-13 17:30:43.042,2078.0,698181.0,698181.0,True,3,https://blueprintjs.com/docs/,,,,,,,,
22,Handsontable,handsontable/handsontable,handsontable,,data-tables,https://github.com/handsontable/handsontable,https://github.com/handsontable/handsontable,ICU,2011-05-23 22:38:58.000,2021-07-01 16:38:48.000,2021-06-17 08:43:26.000,2598,615.0,6111.0,15323,7116.0,2021-06-17 08:48:17.000,9.0.1,100.0,"JavaScript data grid with a spreadsheet look & feel. Works for React, Angular, and Vue. Supported by the Handsontable..",4442.0,3718.0,118.0,32,https://www.npmjs.com/package/handsontable,2021-06-17 08:45:50.768,724.0,434921.0,434921.0,False,1,https://handsontable.com/examples,,,,,,,,
23,nivo,plouc/nivo,@nivo/core,,data-viz,https://github.com/plouc/nivo,https://github.com/plouc/nivo,MIT,2016-04-16 03:27:56.000,2021-07-01 13:50:20.000,2021-06-30 11:56:15.000,706,89.0,989.0,8918,1446.0,2021-06-29 13:23:55.000,0.72.0,56.0,"nivo provides a rich set of dataviz components, built on top of the awesome d3 and Reactjs libraries.",1430.0,1128.0,147.0,32,https://www.npmjs.com/package/@nivo/core,2021-06-29 13:17:54.412,302.0,877573.0,877573.0,True,2,https://nivo.rocks/components/,,,,,,,,
24,Grommet,grommet/grommet,grommet,,ui-frameworks,https://github.com/grommet/grommet,https://github.com/grommet/grommet,Apache-2.0,2015-03-24 08:54:10.000,2021-07-01 17:44:03.000,2021-07-01 17:36:00.000,888,210.0,2433.0,7340,5906.0,2021-06-08 23:27:20.000,2.17.3,133.0,"a react-based framework that provides accessibility, modularity, responsiveness, and theming in a tidy package.",7875.0,6643.0,298.0,32,https://www.npmjs.com/package/grommet,2021-06-08 23:16:44.648,1232.0,94728.0,94754.0,True,3,https://v2.grommet.io/components,,1712.0,,,,,,
25,material-table,mbrn/material-table,material-table,['material-ui'],data-tables,https://github.com/mbrn/material-table,https://github.com/mbrn/material-table,MIT,2018-08-06 13:15:08.000,2021-07-01 06:00:08.000,2021-04-21 11:22:33.000,949,144.0,2195.0,3046,1576.0,2020-11-17 09:24:46.731,1.69.2,186.0,Datatable for React based on material-ui's table with additional features.,15543.0,15015.0,198.0,32,https://www.npmjs.com/package/material-table,2020-11-17 09:24:46.731,528.0,581491.0,581491.0,True,1,,,,,,,,,
26,react-json-view,mac-s-g/react-json-view,react-json-view,,file-handling,https://github.com/mac-s-g/react-json-view,https://github.com/mac-s-g/react-json-view,MIT,2017-03-26 06:01:36.000,2021-06-28 10:47:36.000,2021-03-09 03:27:31.000,292,108.0,88.0,2105,732.0,2021-03-09 03:08:46.252,1.21.3,111.0,JSON viewer for react.,17444.0,16450.0,33.0,32,https://www.npmjs.com/package/react-json-view,2021-03-09 03:08:46.252,994.0,1108093.0,1108093.0,True,2,https://mac-s-g.github.io/react-json-view/demo/dist/,1.0,,,,,,,
27,emotion,emotion-js/emotion,@emotion/react,,styling,https://github.com/emotion-js/emotion,https://github.com/emotion-js/emotion,MIT,2017-05-27 04:23:45.000,2021-06-30 07:05:48.000,2021-06-06 23:38:08.000,847,121.0,1187.0,13264,,2021-05-07 00:52:02.000,@emotion/cache@11.4.0,100.0,CSS-in-JS library designed for high performance style composition.,16561.0,16561.0,260.0,31,https://www.npmjs.com/package/@emotion/react,2021-05-07 00:51:52.620,0.0,4367539.0,4367539.0,True,3,,,,,,,,,
28,Victory,FormidableLabs/victory,victory,,data-viz,https://github.com/FormidableLabs/victory,https://github.com/FormidableLabs/victory,MIT,2015-07-02 22:36:50.000,2021-06-28 22:44:31.000,2021-06-28 22:44:28.000,439,150.0,1227.0,8943,,2021-06-24 16:52:34.000,35.9.0,201.0,A collection of composable React components for building interactive data visualizations.,10651.0,9279.0,234.0,31,https://www.npmjs.com/package/victory,2021-06-24 16:44:59.237,1372.0,578378.0,578378.0,True,2,https://formidable.com/open-source/victory/gallery/,,,,,,,,
29,React Ace,securingsincity/react-ace,react-ace,,editors,https://github.com/securingsincity/react-ace,https://github.com/securingsincity/react-ace,MIT,2014-11-29 05:15:14.000,2021-06-28 01:10:37.000,2021-06-06 18:02:48.000,524,114.0,284.0,3132,853.0,2021-06-06 01:33:51.714,9.4.1,93.0,React Ace Component.,16062.0,12482.0,116.0,31,https://www.npmjs.com/package/react-ace,2021-06-06 01:33:51.714,3580.0,1308147.0,1308159.0,True,2,https://securingsincity.github.io/react-ace/,,897.0,,,,,,
