,name,github_id,npm_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,monthly_downloads,show,projectrank_placing,trending,demo_url,github_release_downloads,updated_github_id,pypi_id,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads
43,umi,umijs/umi,umi,,cms-frameworks,https://github.com/umijs/umi,https://github.com/umijs/umi,MIT,2017-11-22 10:09:36.000,2021-11-15 08:54:48.911,2021-10-13 13:47:27.000,1927,350.0,4174.0,11573,4494.0,2021-09-28 05:56:20.000,3.5.20,521.0,Pluggable enterprise-level react application framework.,1979.0,765.0,317,33,https://www.npmjs.com/package/umi,2021-11-15 08:54:48.911,1214.0,133120.0,133120.0,True,3,-2.0,,,,,,,,
44,nivo,plouc/nivo,@nivo/core,,data-viz,https://github.com/plouc/nivo,https://github.com/plouc/nivo,MIT,2016-04-16 03:27:56.000,2021-11-17 17:25:09.000,2021-11-10 00:45:28.000,765,101.0,1084.0,9433,1572.0,2021-10-09 22:59:30.835,0.74.0,58.0,"nivo provides a rich set of dataviz components, built on top of the awesome d3 and Reactjs libraries.",1543.0,1241.0,160,33,https://www.npmjs.com/package/@nivo/core,2021-10-09 22:59:30.835,302.0,982712.0,982712.0,True,1,,https://nivo.rocks/components/,,,,,,,
45,ag-Grid,ag-grid/ag-grid,ag-grid-community,,data-tables,https://github.com/ag-grid/ag-grid,https://github.com/ag-grid/ag-grid,MIT,2014-12-23 16:20:14.000,2021-11-17 16:11:02.000,2021-11-17 16:07:43.000,1370,16.0,4246.0,7752,21406.0,2021-11-17 08:25:24.000,26.2.0,100.0,The best JavaScript Data Table for building Enterprise Applications. Supports React / Angular / Vue / Plain JavaScript.,1622.0,976.0,131,33,https://www.npmjs.com/package/ag-grid-community,2021-11-17 08:19:18.490,646.0,1119214.0,1119214.0,True,2,,,,,,,,,
46,React Chartjs 2,reactchartjs/react-chartjs-2,react-chartjs-2,,data-viz,https://github.com/reactchartjs/react-chartjs-2,https://github.com/reactchartjs/react-chartjs-2,MIT,2016-05-06 22:01:08.000,2021-11-15 19:08:18.000,2021-11-12 10:28:03.000,880,114.0,498.0,4572,385.0,2021-10-26 09:07:10.000,3.3.0,73.0,"React components for Chart.js, the most popular charting library.",106898.0,100174.0,68,33,https://www.npmjs.com/package/react-chartjs-2,2021-10-26 09:06:24.203,6724.0,1872444.0,1872444.0,True,1,,https://reactchartjs.github.io/react-chartjs-2/,,,,,,,
47,material-table,mbrn/material-table,material-table,['material-ui'],data-tables,https://github.com/mbrn/material-table,https://github.com/mbrn/material-table,MIT,2018-08-06 13:15:08.000,2021-11-09 11:16:21.000,2021-04-21 11:22:33.000,1042,103.0,2352.0,3176,1576.0,2021-04-21 11:24:11.402,1.69.3,187.0,Datatable for React based on material-ui's table with additional features.,17993.0,17465.0,198,33,https://www.npmjs.com/package/material-table,2021-04-21 11:24:11.402,528.0,580199.0,580199.0,True,2,,,,,,,,,
48,Slate,ianstormtaylor/slate,slate,,editors,https://github.com/ianstormtaylor/slate,https://github.com/ianstormtaylor/slate,MIT,2016-06-18 01:52:42.000,2021-11-17 17:01:03.000,2021-11-16 11:31:36.000,2516,418.0,2286.0,22810,,2021-11-16 11:35:42.000,slate-react@0.70.1,587.0,A completely customizable framework for building rich text editors. (Currently in beta.).,71879.0,64881.0,446,32,https://www.npmjs.com/package/slate,2021-04-01 02:10:51.453,6998.0,1239082.0,1239082.0,True,1,,https://www.slatejs.org/examples/richtext,,,,,,,
49,Blueprint,palantir/blueprint,@blueprintjs/core,,ui-frameworks,https://github.com/palantir/blueprint,https://github.com/palantir/blueprint,Apache-2.0,2016-10-25 21:17:50.000,2021-11-11 15:16:23.290,2021-11-10 15:38:43.000,1920,641.0,1943.0,18296,,2021-10-25 20:09:18.743,3.51.3,168.0,A React-based UI toolkit for the web.,12321.0,10243.0,294,32,https://www.npmjs.com/package/@blueprintjs/core,2021-11-11 15:16:23.290,2078.0,778602.0,778602.0,True,2,,https://blueprintjs.com/docs/,,,,,,,
50,Handsontable,handsontable/handsontable,handsontable,,data-tables,https://github.com/handsontable/handsontable,https://github.com/handsontable/handsontable,ICU,2011-05-23 22:38:58.000,2021-11-17 15:46:29.000,2021-11-17 15:15:23.000,2671,816.0,6275.0,15942,7299.0,2021-11-17 15:19:55.000,11.0.1,100.0,"JavaScript data grid with a spreadsheet look & feel. Works with React, Angular, and Vue. Supported by the Handsontable..",4762.0,4038.0,120,32,https://www.npmjs.com/package/handsontable,2021-11-17 15:17:10.950,724.0,368088.0,368088.0,False,2,,https://handsontable.com/examples,,,,,,,
51,emotion,emotion-js/emotion,@emotion/react,,styling,https://github.com/emotion-js/emotion,https://github.com/emotion-js/emotion,MIT,2017-05-27 04:23:45.000,2021-11-17 16:01:50.000,2021-11-14 07:09:07.000,901,159.0,1219.0,14007,,2021-11-14 07:12:17.000,@emotion/react@11.6.0,100.0,CSS-in-JS library designed for high performance style composition.,48800.0,48800.0,275,32,https://www.npmjs.com/package/@emotion/react,2021-11-14 07:12:14.714,0.0,8020479.0,8020479.0,True,3,,,,,,,,,
52,Grommet,grommet/grommet,grommet,,ui-frameworks,https://github.com/grommet/grommet,https://github.com/grommet/grommet,Apache-2.0,2015-03-24 08:54:10.000,2021-11-17 17:00:31.000,2021-11-17 04:05:48.000,930,211.0,2577.0,7640,6110.0,2021-09-29 20:44:04.644,2.18.0,136.0,"a react-based framework that provides accessibility, modularity, responsiveness, and theming in a tidy package.",8367.0,7135.0,321,32,https://www.npmjs.com/package/grommet,2021-09-29 20:44:04.644,1232.0,107520.0,107549.0,True,2,,https://v2.grommet.io/components,1916.0,,,,,,
