,name,github_id,npm_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,monthly_downloads,show,projectrank_placing,labels,demo_url,trending,github_release_downloads,updated_github_id,pypi_id,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads
20,Slate,ianstormtaylor/slate,slate,editors,https://github.com/ianstormtaylor/slate,https://github.com/ianstormtaylor/slate,MIT,2016-06-18 01:52:42.000,2021-06-10 14:02:44.000,2021-06-09 16:04:11.000,2313,423.0,2191.0,20871,,2021-06-09 16:07:36.000,slate-react@0.65.2,509.0,A completely customizable framework for building rich text editors. (Currently in beta.).,66217.0,59219.0,406.0,32,https://www.npmjs.com/package/slate,2021-04-01 02:10:51.453,6998.0,784878.0,784878.0,True,2,,https://www.slatejs.org/examples/richtext,,,,,,,,
21,Blueprint,palantir/blueprint,@blueprintjs/core,ui-frameworks,https://github.com/palantir/blueprint,https://github.com/palantir/blueprint,Apache-2.0,2016-10-25 21:17:50.000,2021-06-10 17:28:57.000,2021-06-08 22:48:17.000,1873,575.0,1870.0,17845,,2021-05-27 18:36:51.021,3.45.0,147.0,A React-based UI toolkit for the web.,11344.0,9266.0,281.0,32,https://www.npmjs.com/package/@blueprintjs/core,2021-04-13 17:30:43.042,2078.0,681940.0,681940.0,True,3,,https://blueprintjs.com/docs/,,,,,,,,
22,Handsontable,handsontable/handsontable,handsontable,data-tables,https://github.com/handsontable/handsontable,https://github.com/handsontable/handsontable,ICU,2011-05-23 22:38:58.000,2021-06-10 17:50:06.000,2021-06-01 10:28:37.000,2596,590.0,6048.0,15272,7107.0,2021-06-01 10:38:18.000,9.0.0,100.0,"JavaScript data grid with a spreadsheet look & feel. Works for React, Angular, and Vue. Supported by the Handsontable..",4393.0,3669.0,118.0,32,https://www.npmjs.com/package/handsontable,2021-06-01 10:31:01.460,724.0,281762.0,281762.0,False,1,,https://handsontable.com/examples,,,,,,,,
23,nivo,plouc/nivo,@nivo/core,data-viz,https://github.com/plouc/nivo,https://github.com/plouc/nivo,MIT,2016-04-16 03:27:56.000,2021-06-10 13:07:38.000,2021-06-10 13:07:36.000,693,129.0,951.0,8834,1364.0,2021-05-27 18:08:16.000,0.70.1,54.0,"nivo provides a rich set of dataviz components, built on top of the awesome d3 and Reactjs libraries.",1402.0,1100.0,145.0,32,https://www.npmjs.com/package/@nivo/core,2021-05-27 18:04:52.036,302.0,824865.0,824865.0,True,2,,https://nivo.rocks/components/,,,,,,,,
24,Grommet,grommet/grommet,grommet,ui-frameworks,https://github.com/grommet/grommet,https://github.com/grommet/grommet,Apache-2.0,2015-03-24 08:54:10.000,2021-06-10 17:38:03.000,2021-06-10 13:03:17.000,888,210.0,2406.0,7288,5843.0,2021-06-08 23:27:20.000,2.17.3,133.0,"a react-based framework that provides accessibility, modularity, responsiveness, and theming in a tidy package.",7781.0,6549.0,294.0,32,https://www.npmjs.com/package/grommet,2021-06-08 23:16:44.648,1232.0,94173.0,94200.0,True,3,,https://v2.grommet.io/components,,1711.0,,,,,,
25,material-table,mbrn/material-table,material-table,data-tables,https://github.com/mbrn/material-table,https://github.com/mbrn/material-table,MIT,2018-08-06 13:15:08.000,2021-06-03 08:51:36.000,2021-04-21 11:22:33.000,945,156.0,2175.0,3021,1576.0,2020-11-17 09:24:46.731,1.69.2,186.0,Datatable for React based on material-ui's table with additional features.,15138.0,14610.0,198.0,32,https://www.npmjs.com/package/material-table,2020-11-17 09:24:46.731,528.0,528243.0,528243.0,True,1,['material-ui'],,,,,,,,,
26,emotion,emotion-js/emotion,@emotion/react,styling,https://github.com/emotion-js/emotion,https://github.com/emotion-js/emotion,MIT,2017-05-27 04:23:45.000,2021-06-07 23:17:51.000,2021-06-06 23:38:08.000,825,107.0,1183.0,13156,,2021-05-07 00:52:02.000,@emotion/cache@11.4.0,100.0,CSS-in-JS library designed for high performance style composition.,14504.0,14504.0,260.0,31,https://www.npmjs.com/package/@emotion/react,2021-05-07 00:51:52.620,0.0,3846482.0,3846482.0,True,3,,,,,,,,,,
27,Victory,FormidableLabs/victory,victory,data-viz,https://github.com/FormidableLabs/victory,https://github.com/FormidableLabs/victory,MIT,2015-07-02 22:36:50.000,2021-06-09 19:01:34.000,2021-06-09 19:01:19.000,434,151.0,1216.0,8901,,2021-06-09 19:01:28.922,35.8.5,199.0,A collection of composable React components for building interactive data visualizations.,10400.0,9028.0,234.0,31,https://www.npmjs.com/package/victory,2021-06-09 19:01:28.922,1372.0,539824.0,539824.0,True,2,,https://formidable.com/open-source/victory/gallery/,,,,,,,,
28,React Ace,securingsincity/react-ace,react-ace,editors,https://github.com/securingsincity/react-ace,https://github.com/securingsincity/react-ace,MIT,2014-11-29 05:15:14.000,2021-06-10 05:12:23.000,2021-06-06 18:02:48.000,524,106.0,283.0,3107,853.0,2021-06-06 01:33:51.714,9.4.1,93.0,React Ace Component.,15761.0,12181.0,116.0,31,https://www.npmjs.com/package/react-ace,2021-06-06 01:33:51.714,3580.0,1239011.0,1239023.0,True,2,,https://securingsincity.github.io/react-ace/,,894.0,,,,,,
29,react-json-view,mac-s-g/react-json-view,react-json-view,file-handling,https://github.com/mac-s-g/react-json-view,https://github.com/mac-s-g/react-json-view,MIT,2017-03-26 06:01:36.000,2021-05-24 07:21:48.000,2021-03-09 03:27:31.000,292,108.0,88.0,2071,732.0,2021-03-09 03:08:46.252,1.21.3,111.0,JSON viewer for react.,16497.0,15503.0,33.0,31,https://www.npmjs.com/package/react-json-view,2021-03-09 03:08:46.252,994.0,1024410.0,1024410.0,True,2,,https://mac-s-g.github.io/react-json-view/demo/dist/,,,,,,,,
30,Notistack,iamhosseindhv/notistack,notistack,notifications,https://github.com/iamhosseindhv/notistack,https://github.com/iamhosseindhv/notistack,MIT,2018-08-04 21:05:47.000,2021-06-04 14:53:12.000,2021-05-19 19:33:44.000,190,28.0,240.0,2067,475.0,2021-05-19 19:34:09.737,1.0.9,82.0,Highly customizable notification snackbars (toasts) that can be stacked on top of each other.,10884.0,10378.0,43.0,31,https://www.npmjs.com/package/notistack,2021-04-25 01:29:50.289,506.0,1159242.0,1159242.0,True,3,['material-ui'],https://iamhosseindhv.com/notistack/demos,,,,,,,,
31,Rebass,rebassjs/rebass,rebass,ui-frameworks,https://github.com/rebassjs/rebass,https://github.com/rebassjs/rebass,MIT,2015-02-11 14:48:09.000,2021-06-08 20:47:06.000,2021-05-18 14:00:46.000,558,42.0,429.0,7337,2018.0,2019-10-28 19:08:45.057,4.0.7,109.0,React primitive UI components built with styled-system.,10743.0,9255.0,58.0,30,https://www.npmjs.com/package/rebass,2019-10-28 19:08:45.057,1488.0,282495.0,282495.0,True,3,,https://codesandbox.io/s/github/rebassjs/rebass/tree/master/examples/sandbox,,,,,,,,
32,BizCharts,alibaba/BizCharts,bizcharts,data-viz,https://github.com/alibaba/BizCharts,https://github.com/alibaba/BizCharts,MIT,2017-11-10 08:27:54.000,2021-05-18 05:52:25.399,2021-04-29 06:26:52.000,606,256.0,962.0,5622,948.0,2021-04-19 07:24:38.000,4.1.10,212.0,Powerful data visualization library based on G2 and React.,12135.0,10903.0,76.0,30,https://www.npmjs.com/package/bizcharts,2021-05-18 05:52:25.399,1232.0,124386.0,124386.0,True,2,,,,,,,,,,
33,React Suite,rsuite/rsuite,rsuite,ui-frameworks,https://github.com/rsuite/rsuite,https://github.com/rsuite/rsuite,MIT,2016-06-06 02:27:46.000,2021-06-10 14:46:53.000,2021-06-09 11:25:29.000,568,151.0,415.0,5599,1640.0,2021-06-03 06:32:49.982,4.10.2,219.0,A suite of React components .,3511.0,3379.0,53.0,30,https://www.npmjs.com/package/rsuite,2021-05-17 09:14:51.031,132.0,66185.0,66185.0,True,3,,https://rsuitejs.com/components/overview/,,,,,,,,
34,MUI-Datatables,gregnb/mui-datatables,mui-datatables,data-tables,https://github.com/gregnb/mui-datatables,https://github.com/gregnb/mui-datatables,MIT,2017-11-04 19:49:44.000,2021-06-04 20:00:32.000,2021-04-03 07:24:59.000,727,470.0,775.0,2036,925.0,2021-04-03 07:27:55.000,3.7.7,143.0,Datatables for React using Material-UI - https://www.material-ui-datatables.com.,5068.0,4814.0,129.0,30,https://www.npmjs.com/package/mui-datatables,2021-04-03 07:27:06.513,254.0,204555.0,204555.0,True,2,['material-ui'],,,,,,,,,
35,docz,doczjs/docz,docz,dev-tools,https://github.com/pedronauck/docz,https://github.com/pedronauck/docz,MIT,2018-03-17 04:24:10.000,2021-06-03 23:30:47.000,2021-06-03 19:42:39.000,1288,77.0,1103.0,21199,,2020-04-05 08:58:58.000,2.3.1,273.0,It has never been so easy to document your things!.,6740.0,5368.0,127.0,29,https://www.npmjs.com/package/docz,2020-04-07 10:55:25.773,1372.0,160157.0,160157.0,True,2,,,,,pedronauck/docz,,,,,
36,visx,airbnb/visx,@visx/group,data-viz,https://github.com/airbnb/visx,https://github.com/airbnb/visx,MIT,2017-03-15 16:25:41.000,2021-06-07 20:51:28.000,2021-06-07 20:41:28.000,498,89.0,461.0,13412,2911.0,2021-03-08 20:16:56.000,1.6.1,76.0,visx | visualization components.,52.0,52.0,113.0,29,https://www.npmjs.com/package/@visx/group,2021-03-08 20:10:00.881,0.0,214705.0,214705.0,True,3,,https://airbnb.io/visx/gallery,,,,,,,,
