,name,github_id,npm_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,monthly_downloads,show,projectrank_placing,labels,trending,demo_url,github_release_downloads,updated_github_id,pypi_id,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads
20,Slate,ianstormtaylor/slate,slate,editors,https://github.com/ianstormtaylor/slate,https://github.com/ianstormtaylor/slate,MIT,2016-06-18 01:52:42.000,2021-05-20 17:07:18.000,2021-05-20 16:21:38.000,2265,405.0,2177.0,20621,,2021-05-13 01:32:55.000,slate-react@0.63.0,509.0,A completely customizable framework for building rich text editors. (Currently in beta.).,65122.0,58124.0,403.0,32,https://www.npmjs.com/package/slate,2021-04-01 02:10:51.453,6998.0,953741.0,953741.0,True,2,,,https://www.slatejs.org/examples/richtext,,,,,,,
21,docz,doczjs/docz,docz,dev-tools,https://github.com/pedronauck/docz,https://github.com/pedronauck/docz,MIT,2018-03-17 04:24:10.000,2021-04-04 15:07:33.000,2020-11-19 15:31:27.000,1266,75.0,1098.0,20160,1581.0,2020-04-05 08:58:58.000,2.3.1,273.0,It has never been so easy to document your things!.,6687.0,5315.0,122.0,32,https://www.npmjs.com/package/docz,2020-04-07 10:55:25.773,1372.0,192739.0,192739.0,True,2,,,,,pedronauck/docz,,,,,
22,Blueprint,palantir/blueprint,@blueprintjs/core,ui-frameworks,https://github.com/palantir/blueprint,https://github.com/palantir/blueprint,Apache-2.0,2016-10-25 21:17:50.000,2021-05-20 17:35:10.000,2021-05-19 18:42:20.000,1870,573.0,1857.0,17742,,2021-05-19 18:46:53.069,3.44.3,146.0,A React-based UI toolkit for the web.,11212.0,9134.0,281.0,32,https://www.npmjs.com/package/@blueprintjs/core,2021-04-13 17:30:43.042,2078.0,728196.0,728196.0,True,3,,,https://blueprintjs.com/docs/,,,,,,,
23,Handsontable,handsontable/handsontable,handsontable,data-tables,https://github.com/handsontable/handsontable,https://github.com/handsontable/handsontable,ICU,2011-05-23 22:38:58.000,2021-05-20 17:40:19.000,2021-05-11 10:34:53.000,2589,544.0,6009.0,15170,7075.0,2021-05-11 10:43:40.000,8.4.0,100.0,"JavaScript data grid with a spreadsheet look & feel. Works for React, Angular, and Vue. Supported by the Handsontable..",4336.0,3612.0,117.0,32,https://www.npmjs.com/package/handsontable,2021-05-11 10:37:20.495,724.0,316394.0,316394.0,False,1,,,https://handsontable.com/examples,,,,,,,
24,nivo,plouc/nivo,@nivo/core,data-viz,https://github.com/plouc/nivo,https://github.com/plouc/nivo,MIT,2016-04-16 03:27:56.000,2021-05-20 12:59:48.000,2021-05-18 16:07:51.000,683,146.0,900.0,8757,1315.0,2021-05-03 12:00:23.000,0.69.1,52.0,"nivo provides a rich set of dataviz components, built on top of the awesome d3 and Reactjs libraries.",1372.0,1070.0,139.0,32,https://www.npmjs.com/package/@nivo/core,2021-04-30 13:15:58.319,302.0,893303.0,893303.0,True,2,,,https://nivo.rocks/components/,,,,,,,
25,Grommet,grommet/grommet,grommet,ui-frameworks,https://github.com/grommet/grommet,https://github.com/grommet/grommet,Apache-2.0,2015-03-24 08:54:10.000,2021-05-20 17:27:22.000,2021-05-20 17:23:42.000,876,208.0,2386.0,7233,5816.0,2021-04-29 16:40:37.000,2.17.2,132.0,"a react-based framework that provides accessibility, modularity, responsiveness, and theming in a tidy package.",7689.0,6457.0,292.0,32,https://www.npmjs.com/package/grommet,2021-04-29 16:33:44.661,1232.0,109328.0,109355.0,True,3,,,https://v2.grommet.io/components,1722.0,,,,,,
26,material-table,mbrn/material-table,material-table,data-tables,https://github.com/mbrn/material-table,https://github.com/mbrn/material-table,MIT,2018-08-06 13:15:08.000,2021-05-19 10:17:45.000,2021-04-21 11:22:33.000,922,181.0,2148.0,2994,1576.0,2020-11-17 09:24:46.731,1.69.2,186.0,Datatable for React based on material-ui's table with additional features.,14732.0,14204.0,198.0,32,https://www.npmjs.com/package/material-table,2020-11-17 09:24:46.731,528.0,565491.0,565491.0,True,1,['material-ui'],,,,,,,,,
27,emotion,emotion-js/emotion,@emotion/react,styling,https://github.com/emotion-js/emotion,https://github.com/emotion-js/emotion,MIT,2017-05-27 04:23:45.000,2021-05-10 20:21:33.000,2021-05-07 00:48:30.000,825,107.0,1181.0,13038,,2021-05-07 00:52:02.000,@emotion/cache@11.4.0,100.0,CSS-in-JS library designed for high performance style composition.,12482.0,12482.0,258.0,31,https://www.npmjs.com/package/@emotion/react,2021-05-07 00:51:52.620,0.0,3637336.0,3637336.0,True,3,,,,,,,,,,
28,Victory,FormidableLabs/victory,victory,data-viz,https://github.com/FormidableLabs/victory,https://github.com/FormidableLabs/victory,MIT,2015-07-02 22:36:50.000,2021-05-19 17:52:58.000,2021-05-19 17:52:57.000,431,152.0,1208.0,8871,,2021-05-19 17:42:29.853,35.8.0,193.0,A collection of composable React components for building interactive data visualizations.,10129.0,8757.0,234.0,31,https://www.npmjs.com/package/victory,2021-05-19 17:42:29.853,1372.0,645503.0,645503.0,True,2,,,https://formidable.com/open-source/victory/gallery/,,,,,,,
29,React Ace,securingsincity/react-ace,react-ace,editors,https://github.com/securingsincity/react-ace,https://github.com/securingsincity/react-ace,MIT,2014-11-29 05:15:14.000,2021-05-20 01:18:45.000,2021-05-20 01:10:10.000,516,107.0,283.0,3077,853.0,2021-03-28 00:46:55.237,9.4.0,92.0,React Ace Component.,15471.0,11891.0,116.0,31,https://www.npmjs.com/package/react-ace,2021-03-28 00:46:55.237,3580.0,1423816.0,1423828.0,True,2,,,https://securingsincity.github.io/react-ace/,893.0,,,,,,
30,react-json-view,mac-s-g/react-json-view,react-json-view,file-handling,https://github.com/mac-s-g/react-json-view,https://github.com/mac-s-g/react-json-view,MIT,2017-03-26 06:01:36.000,2021-04-29 15:39:29.000,2021-03-09 03:27:31.000,280,98.0,86.0,2038,732.0,2021-03-09 03:08:46.252,1.21.3,111.0,JSON viewer for react.,15501.0,14507.0,33.0,31,https://www.npmjs.com/package/react-json-view,2021-03-09 03:08:46.252,994.0,1131479.0,1131479.0,True,2,,,https://mac-s-g.github.io/react-json-view/demo/dist/,,,,,,,
31,Notistack,iamhosseindhv/notistack,notistack,notifications,https://github.com/iamhosseindhv/notistack,https://github.com/iamhosseindhv/notistack,MIT,2018-08-04 21:05:47.000,2021-05-20 12:51:27.000,2021-05-19 19:33:44.000,184,21.0,240.0,1995,475.0,2021-05-19 19:34:09.737,1.0.9,82.0,Highly customizable notification snackbars (toasts) that can be stacked on top of each other.,10428.0,9922.0,43.0,31,https://www.npmjs.com/package/notistack,2021-04-25 01:29:50.289,506.0,1131093.0,1131093.0,True,3,['material-ui'],,https://iamhosseindhv.com/notistack/demos,,,,,,,
32,Rebass,rebassjs/rebass,rebass,ui-frameworks,https://github.com/rebassjs/rebass,https://github.com/rebassjs/rebass,MIT,2015-02-11 14:48:09.000,2021-05-18 14:05:30.000,2021-05-18 14:00:46.000,548,42.0,428.0,7296,2018.0,2019-10-28 19:08:45.057,4.0.7,109.0,React primitive UI components built with styled-system.,10428.0,8940.0,58.0,30,https://www.npmjs.com/package/rebass,2019-10-28 19:08:45.057,1488.0,372712.0,372712.0,True,3,,,https://codesandbox.io/s/github/rebassjs/rebass/tree/master/examples/sandbox,,,,,,,
33,BizCharts,alibaba/BizCharts,bizcharts,data-viz,https://github.com/alibaba/BizCharts,https://github.com/alibaba/BizCharts,MIT,2017-11-10 08:27:54.000,2021-05-18 05:52:25.399,2021-04-29 06:26:52.000,604,248.0,961.0,5599,948.0,2021-04-19 07:24:38.000,4.1.10,212.0,Powerful data visualization library based on G2 and React.,12025.0,10793.0,76.0,30,https://www.npmjs.com/package/bizcharts,2021-05-18 05:52:25.399,1232.0,133236.0,133236.0,True,2,,,,,,,,,,
34,React Suite,rsuite/rsuite,rsuite,ui-frameworks,https://github.com/rsuite/rsuite,https://github.com/rsuite/rsuite,MIT,2016-06-06 02:27:46.000,2021-05-20 10:54:18.000,2021-05-17 09:09:50.000,543,139.0,408.0,5533,1640.0,2021-05-13 08:00:58.137,4.10.1,217.0,A suite of React components .,3344.0,3212.0,53.0,30,https://www.npmjs.com/package/rsuite,2021-05-17 09:14:51.031,132.0,66204.0,66204.0,True,3,,,https://rsuitejs.com/components/overview/,,,,,,,
35,react-monaco-editor,react-monaco-editor/react-monaco-editor,react-monaco-editor,editors,https://github.com/react-monaco-editor/react-monaco-editor,https://github.com/react-monaco-editor/react-monaco-editor,MIT,2016-09-05 07:11:05.000,2021-03-30 15:09:25.000,2021-03-30 15:09:15.000,270,19.0,224.0,2202,349.0,2021-03-15 17:34:44.054,0.43.0,69.0,Monaco Editor for React.,9804.0,9208.0,60.0,30,https://www.npmjs.com/package/react-monaco-editor,2021-03-15 17:34:44.054,596.0,375083.0,375083.0,True,2,,,,,,,,,,
36,MUI-Datatables,gregnb/mui-datatables,mui-datatables,data-tables,https://github.com/gregnb/mui-datatables,https://github.com/gregnb/mui-datatables,MIT,2017-11-04 19:49:44.000,2021-05-13 16:14:25.000,2021-04-03 07:24:59.000,711,453.0,772.0,2013,925.0,2021-04-03 07:27:55.000,3.7.7,143.0,Datatables for React using Material-UI - https://www.material-ui-datatables.com.,4925.0,4671.0,129.0,30,https://www.npmjs.com/package/mui-datatables,2021-04-03 07:27:06.513,254.0,213553.0,213553.0,True,2,['material-ui'],,,,,,,,,
