,name,github_id,npm_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,monthly_downloads,show,projectrank_placing,labels,demo_url,github_release_downloads,trending,updated_github_id,pypi_id,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads
20,Slate,ianstormtaylor/slate,slate,editors,https://github.com/ianstormtaylor/slate,https://github.com/ianstormtaylor/slate,MIT,2016-06-18 01:52:42.000,2021-05-13 13:46:17.000,2021-05-13 01:29:31.000,2265,405.0,2171.0,20552,,2021-05-13 01:32:55.000,slate-react@0.63.0,509.0,A completely customizable framework for building rich text editors. (Currently in beta.).,64898.0,57900.0,402.0,32,https://www.npmjs.com/package/slate,2021-04-01 02:10:51.453,6998.0,977187.0,977187.0,True,2,,https://www.slatejs.org/examples/richtext,,-1.0,,,,,,
21,docz,doczjs/docz,docz,dev-tools,https://github.com/pedronauck/docz,https://github.com/pedronauck/docz,MIT,2018-03-17 04:24:10.000,2021-04-04 15:07:33.000,2020-11-19 15:31:27.000,1266,74.0,1098.0,20142,1581.0,2020-04-05 08:58:58.000,2.3.1,273.0,It has never been so easy to document your things!.,6662.0,5290.0,122.0,32,https://www.npmjs.com/package/docz,2020-04-07 10:55:25.773,1372.0,199616.0,199616.0,True,2,,,,,pedronauck/docz,,,,,
22,Blueprint,palantir/blueprint,@blueprintjs/core,ui-frameworks,https://github.com/palantir/blueprint,https://github.com/palantir/blueprint,Apache-2.0,2016-10-25 21:17:50.000,2021-05-13 00:46:04.000,2021-05-13 00:46:03.000,1861,570.0,1853.0,17720,,2021-05-04 15:53:47.237,3.44.2,145.0,A React-based UI toolkit for the web.,11170.0,9092.0,280.0,32,https://www.npmjs.com/package/@blueprintjs/core,2021-04-13 17:30:43.042,2078.0,725606.0,725606.0,True,3,,https://blueprintjs.com/docs/,,,,,,,,
23,Handsontable,handsontable/handsontable,handsontable,data-tables,https://github.com/handsontable/handsontable,https://github.com/handsontable/handsontable,ICU,2011-05-23 22:38:58.000,2021-05-13 13:58:43.000,2021-05-11 10:34:53.000,2589,544.0,6004.0,15139,7075.0,2021-05-11 10:43:40.000,8.4.0,100.0,"JavaScript data grid with a spreadsheet look & feel. Works for React, Angular, and Vue. Supported by the Handsontable..",4319.0,3595.0,117.0,32,https://www.npmjs.com/package/handsontable,2021-05-11 10:37:20.495,724.0,333904.0,333904.0,False,1,,https://handsontable.com/examples,,,,,,,,
24,nivo,plouc/nivo,@nivo/core,data-viz,https://github.com/plouc/nivo,https://github.com/plouc/nivo,MIT,2016-04-16 03:27:56.000,2021-05-13 14:17:42.000,2021-05-12 19:03:19.000,683,146.0,896.0,8727,1314.0,2021-05-03 12:00:23.000,0.69.1,52.0,"nivo provides a rich set of dataviz components, built on top of the awesome d3 and Reactjs libraries.",1368.0,1066.0,138.0,32,https://www.npmjs.com/package/@nivo/core,2021-04-30 13:15:58.319,302.0,837566.0,837566.0,True,2,,https://nivo.rocks/components/,,,,,,,,
25,Grommet,grommet/grommet,grommet,ui-frameworks,https://github.com/grommet/grommet,https://github.com/grommet/grommet,Apache-2.0,2015-03-24 08:54:10.000,2021-05-13 18:05:08.000,2021-05-13 16:58:05.000,876,208.0,2381.0,7224,5811.0,2021-04-29 16:40:37.000,2.17.2,132.0,"a react-based framework that provides accessibility, modularity, responsiveness, and theming in a tidy package.",7638.0,6406.0,292.0,32,https://www.npmjs.com/package/grommet,2021-04-29 16:33:44.661,1232.0,114002.0,114029.0,True,3,,https://v2.grommet.io/components,1722.0,,,,,,,
26,material-table,mbrn/material-table,material-table,data-tables,https://github.com/mbrn/material-table,https://github.com/mbrn/material-table,MIT,2018-08-06 13:15:08.000,2021-05-11 10:31:47.000,2021-04-21 11:22:33.000,922,181.0,2145.0,2988,1576.0,2020-11-17 09:24:46.731,1.69.2,186.0,Datatable for React based on material-ui's table with additional features.,14586.0,14058.0,198.0,32,https://www.npmjs.com/package/material-table,2020-11-17 09:24:46.731,528.0,573853.0,573853.0,True,1,['material-ui'],,,-1.0,,,,,,
27,emotion,emotion-js/emotion,@emotion/react,styling,https://github.com/emotion-js/emotion,https://github.com/emotion-js/emotion,MIT,2017-05-27 04:23:45.000,2021-05-10 20:21:33.000,2021-05-07 00:48:30.000,825,107.0,1180.0,12995,,2021-05-07 00:52:02.000,@emotion/cache@11.4.0,100.0,CSS-in-JS library designed for high performance style composition.,11893.0,11893.0,258.0,31,https://www.npmjs.com/package/@emotion/react,2021-05-07 00:51:52.620,0.0,3480042.0,3480042.0,True,3,,,,1.0,,,,,,
28,Victory,FormidableLabs/victory,victory,data-viz,https://github.com/FormidableLabs/victory,https://github.com/FormidableLabs/victory,MIT,2015-07-02 22:36:50.000,2021-05-12 20:50:14.000,2021-05-12 20:49:58.000,431,153.0,1201.0,8858,,2021-05-12 20:50:08.510,35.7.0,190.0,A collection of composable React components for building interactive data visualizations.,10072.0,8700.0,234.0,31,https://www.npmjs.com/package/victory,2021-05-12 20:50:08.510,1372.0,673732.0,673732.0,True,2,,https://formidable.com/open-source/victory/gallery/,,,,,,,,
29,React Ace,securingsincity/react-ace,react-ace,editors,https://github.com/securingsincity/react-ace,https://github.com/securingsincity/react-ace,MIT,2014-11-29 05:15:14.000,2021-05-10 23:50:46.000,2021-05-10 23:45:40.000,516,107.0,283.0,3063,853.0,2021-03-28 00:46:55.237,9.4.0,92.0,React Ace Component.,15399.0,11819.0,116.0,31,https://www.npmjs.com/package/react-ace,2021-03-28 00:46:55.237,3580.0,1420947.0,1420959.0,True,2,,https://securingsincity.github.io/react-ace/,893.0,,,,,,,
