,name,github_id,category,npm_id,github_url,homepage,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,npm_url,license,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,monthly_downloads,show,projectrank_placing,new_addition,labels,demo_url,trending,github_release_downloads,pypi_id,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads
96,Monaco React,suren-atoyan/monaco-react,editors,@monaco-editor/react,https://github.com/suren-atoyan/monaco-react,https://github.com/suren-atoyan/monaco-react,2019-06-16 07:46:31.000,2021-06-21 05:31:26.000,2021-06-21 05:29:07.000,92,37.0,165.0,1102,364.0,2021-06-21 05:31:26.000,4.2.1,85.0,Monaco Editor for React - use the monaco-editor in any React application without needing to use webpack (or..,2221.0,2199.0,23,28,https://www.npmjs.com/package/@monaco-editor/react,MIT,2021-06-21 05:29:31.524,22.0,266830.0,266830.0,True,2,,,https://monaco-react.surenatoyan.com/,,,,,,,
97,ant-design-charts,ant-design/ant-design-charts,data-viz,@ant-design/charts,https://github.com/ant-design/ant-design-charts,https://github.com/ant-design/ant-design-charts,2020-03-09 09:08:31.000,2021-06-29 14:06:05.000,2021-06-29 13:59:46.000,162,52.0,427.0,636,569.0,2021-06-29 14:00:13.000,1.1.20,72.0,A React Chart Library.,1174.0,1174.0,31,28,https://www.npmjs.com/package/@ant-design/charts,MIT,2021-06-29 13:56:22.712,0.0,124971.0,124971.0,True,2,True,['ant-design'],,,,,,,,
98,Bit,teambit/bit,dev-tools,bit-bin,https://github.com/teambit/bit,https://github.com/teambit/bit,2017-01-22 14:51:43.000,2021-07-09 20:06:43.000,2021-07-09 04:47:34.000,725,83.0,1132.0,13704,8298.0,2020-07-13 09:59:04.000,14.8.8,757.0,"Build, distribute, and collaborate on components.",15.0,5.0,58,27,https://www.npmjs.com/package/bit-bin,Apache-2.0,2021-07-05 14:30:42.755,10.0,9935.0,10037.0,True,3,,,,,5019.0,,,,,
99,muuri,haltu/muuri,other-components,muuri,https://github.com/haltu/muuri,https://github.com/haltu/muuri,2015-12-21 07:00:44.000,2021-07-09 19:14:08.022,2021-07-09 19:05:04.000,593,72.0,396.0,9593,516.0,2021-07-09 19:14:08.022,0.9.5,22.0,"Infinite responsive, sortable, filterable and draggable layouts.",752.0,708.0,14,27,https://www.npmjs.com/package/muuri,MIT,2021-07-09 19:14:08.022,44.0,59340.0,59340.0,True,3,True,,,,,,,,,
100,ReactPage,react-page/react-page,editors,@react-page/editor,https://github.com/react-page/react-page,https://github.com/react-page/react-page,2015-05-29 12:19:44.000,2021-06-23 11:38:48.000,2021-06-22 12:35:33.000,554,15.0,628.0,8549,1154.0,2021-06-21 13:01:32.000,3.2.1,253.0,"Next-gen, highly customizable content editor for the browser - based on React and written in TypeScript. WYSIWYG on..",55.0,55.0,52,27,https://www.npmjs.com/package/@react-page/editor,MIT,2021-06-21 13:01:12.179,0.0,3967.0,3967.0,True,3,,,,,,,,,,
101,carbon,carbon-design-system/carbon,ui-frameworks,carbon-components-react,https://github.com/carbon-design-system/carbon,https://github.com/carbon-design-system/carbon,2017-03-13 14:23:59.000,2021-07-09 19:02:07.000,2021-07-09 16:32:16.000,1047,438.0,4386.0,4447,,2021-07-08 21:28:39.000,10.39.0,933.0,A design system built by IBM.,348.0,28.0,339,27,https://www.npmjs.com/package/carbon-components-react,Apache-2.0,2021-07-08 21:28:16.587,320.0,195593.0,195654.0,True,3,True,,,,1412.0,,,,,
102,react-refetch,heroku/react-refetch,data-fetching,react-refetch,https://github.com/heroku/react-refetch,https://github.com/heroku/react-refetch,2015-11-11 21:02:02.000,2021-05-25 18:31:33.000,2021-04-05 23:58:04.000,151,37.0,102.0,3405,638.0,2019-10-28 22:11:40.841,3.0.1,82.0,"A simple, declarative, and composable way to fetch data for React components.",1045.0,731.0,70,27,https://www.npmjs.com/package/react-refetch,MIT,2020-01-20 05:17:56.980,314.0,26778.0,26778.0,True,3,True,,,,,,,,,
103,react-digraph,uber/react-digraph,editors,react-digraph,https://github.com/uber/react-digraph,https://github.com/uber/react-digraph,2016-11-11 07:43:00.000,2021-06-09 06:37:33.000,2021-05-28 22:17:49.000,243,73.0,97.0,2129,455.0,2021-05-28 22:22:04.000,8.0.0-beta.7,95.0,A library for creating directed graph editors.,262.0,230.0,44,27,https://www.npmjs.com/package/react-digraph,MIT,2021-05-28 22:58:26.271,32.0,37088.0,37088.0,True,3,True,,,,,,,,,
104,tabler-react,tabler/tabler-react,ui-frameworks,tabler-react,https://github.com/tabler/tabler-react,https://github.com/tabler/tabler-react,2018-04-12 21:32:09.000,2021-06-07 23:53:21.000,2021-03-07 23:12:06.000,426,58.0,147.0,1750,1363.0,2019-06-04 21:54:09.577,1.30.1,66.0,React components and demo for the Tabler UI theme.,620.0,578.0,34,27,https://www.npmjs.com/package/tabler-react,MIT,2019-06-30 13:10:01.077,42.0,9756.0,9756.0,True,3,True,,,,,,,,,
105,fullcalendar-react,fullcalendar/fullcalendar-react,other-components,@fullcalendar/react,https://github.com/fullcalendar/fullcalendar-react,https://github.com/fullcalendar/fullcalendar-react,2018-12-03 21:32:44.000,2021-06-16 03:19:22.000,2021-06-16 02:44:45.000,54,20.0,114.0,943,181.0,2021-06-16 03:16:52.667,5.8.0,23.0,An official React component for FullCalendar.,5228.0,5108.0,3,27,https://www.npmjs.com/package/@fullcalendar/react,MIT,2021-06-16 03:16:52.667,120.0,311389.0,311389.0,True,3,True,,,,,,,,,
