,name,github_id,npm_id,category,maven_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,monthly_downloads,maven_url,maven_latest_release_published_at,maven_dependent_project_count,show,projectrank_placing,labels,demo_url,trending,nuget_id,pypi_id,github_release_downloads,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,go_id,go_url,go_latest_release_published_at,go_dependent_project_count,conda_id,conda_url,conda_latest_release_published_at,conda_total_downloads,brew_id,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,new_addition
61,loglevel,pimterry/loglevel,loglevel,utils,,https://github.com/pimterry/loglevel,https://github.com/pimterry/loglevel,MIT,2013-03-23 20:35:58.000,2021-11-18 12:58:28.369,2021-11-18 12:51:09.000,289.0,3.0,160,36.0,54.0,16.0,103.0,2154,2021-11-18 12:58:28.369,1.8.0,27.0,"Minimal lightweight logging for JavaScript, adding reliable log level methods to wrap any available console.log methods.",6049520.0,5758562.0,30.0,38,https://www.npmjs.com/package/loglevel,2021-11-18 12:58:28.369,290958.0,35978471.0,35978471.0,,,,True,3,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Semantic-UI,Semantic-Org/Semantic-UI,semantic-ui,ui-frameworks,org.webjars.bower:github-com-Semantic-Org-Semantic-UI,https://github.com/Semantic-Org/Semantic-UI,https://github.com/Semantic-Org/Semantic-UI,MIT,2013-04-08 23:32:04.000,2021-12-22 11:19:19.000,2018-10-21 20:59:02.000,6684.0,,5139,1342.0,875.0,1055.0,5234.0,49794,2018-10-21 21:03:55.194,2.4.2,100.0,Semantic is a UI component framework based around useful principles from natural language.,15318.0,12941.0,225.0,37,https://www.npmjs.com/package/semantic-ui,2018-10-21 21:03:55.194,2377.0,29861.0,29903.0,https://search.maven.org/artifact/org.webjars.bower/github-com-Semantic-Org-Semantic-UI,2018-03-08 00:00:00.000,,False,2,,,,,,4036.0,,,,,,,,,,,,,,,,,,,,
63,Ant Design Pro,ant-design/ant-design-pro,ant-design-pro,admin-dashboards,,https://github.com/ant-design/ant-design-pro,https://github.com/ant-design/ant-design-pro,MIT,2017-08-25 10:40:44.000,2022-01-11 02:43:07.000,2022-01-11 02:32:25.000,2363.0,19.0,7142,777.0,1323.0,156.0,7903.0,31123,2021-12-22 08:23:22.000,5.2.0,47.0,Use Ant Design like a Pro!.,2552.0,2344.0,295.0,37,https://www.npmjs.com/package/ant-design-pro,2019-05-08 08:43:17.468,208.0,22090.0,22090.0,,,,True,1,['ant-design'],https://preview.pro.ant.design/,,,,,,,,,,,,,,,,,,,,,,,,
64,react-beautiful-dnd,atlassian/react-beautiful-dnd,react-beautiful-dnd,other-components,org.webjars.npm:react-beautiful-dnd,https://github.com/atlassian/react-beautiful-dnd,https://github.com/atlassian/react-beautiful-dnd,Apache-2.0,2017-08-09 03:37:15.000,2022-01-12 22:46:32.000,2021-10-15 06:06:19.000,793.0,,1958,248.0,920.0,490.0,995.0,25989,2021-03-21 23:46:09.000,13.1.0,93.0,Beautiful and accessible drag and drop for lists with React.,38243.0,36562.0,126.0,37,https://www.npmjs.com/package/react-beautiful-dnd,2021-03-21 23:24:40.308,1680.0,3559734.0,3559734.0,https://search.maven.org/artifact/org.webjars.npm/react-beautiful-dnd,2020-08-24 00:00:00.000,1.0,True,1,,,,,,,,,,,,,,,,,,,,,,,,,,
65,yup,jquense/yup,yup,utils,org.webjars.npm:yup,https://github.com/jquense/yup,https://github.com/jquense/yup,MIT,2014-09-22 23:54:22.000,2022-01-10 03:27:59.000,2022-01-10 03:27:59.000,642.0,9.0,695,69.0,360.0,327.0,921.0,15688,2021-10-12 17:26:14.439,0.32.11,110.0,Dead simple Object schema validation.,249774.0,239079.0,141.0,37,https://www.npmjs.com/package/yup,2022-01-03 17:07:14.612,10695.0,14722908.0,14722908.0,https://search.maven.org/artifact/org.webjars.npm/yup,2019-12-17 00:00:00.000,,True,3,,,-1.0,,,,,,,,,,,,,,,,,,,,,,,
66,cube.js,cube-js/cube.js,@cubejs-backend/api-gateway,cms-frameworks,,https://github.com/cube-js/cube.js,https://github.com/cube-js/cube.js,Apache-2.0,2018-09-16 18:58:46.000,2022-01-13 13:46:59.000,2022-01-12 12:21:11.000,5167.0,476.0,1188,151.0,2585.0,471.0,1019.0,12133,2022-01-10 15:56:24.896,0.29.20,213.0,Cube Open-Source Analytics API for Building Data Apps.,352.0,334.0,189.0,37,https://www.npmjs.com/package/@cubejs-backend/api-gateway,2022-01-10 15:56:24.896,18.0,47177.0,59303.0,,,,True,2,,,,,,84884.0,,,,,,,,,,,,,,,,,,,,
67,umi,umijs/umi,umi,cms-frameworks,,https://github.com/umijs/umi,https://github.com/umijs/umi,MIT,2017-11-22 10:09:36.000,2022-01-07 09:01:36.000,2021-12-21 06:59:14.000,4498.0,4.0,1987,269.0,2590.0,350.0,4214.0,11821,2021-09-28 05:56:20.000,3.5.20,528.0,Pluggable enterprise-level react application framework.,2310.0,1002.0,318.0,37,https://www.npmjs.com/package/umi,2021-12-30 09:20:17.099,1308.0,106081.0,106081.0,,,,True,2,,,,,,,,,,,,,,,,,,,,,,,,,,
68,redwood,redwoodjs/redwood,@redwoodjs/core,cms-frameworks,,https://github.com/redwoodjs/redwood,https://github.com/redwoodjs/redwood,MIT,2019-06-09 20:17:57.000,2022-01-13 15:35:18.000,2022-01-13 15:26:21.000,4962.0,452.0,438,79.0,2800.0,271.0,1099.0,10579,2021-12-21 23:30:38.000,0.41.0,1702.0,The App Framework for Startups.,1447.0,1442.0,187.0,37,https://www.npmjs.com/package/@redwoodjs/core,2021-12-10 01:59:56.273,5.0,20842.0,20842.0,,,,True,2,,,,,,,,,,,,,,,,,,,,,,,,,,
69,react-slick,akiran/react-slick,react-slick,other-components,,https://github.com/akiran/react-slick,https://github.com/akiran/react-slick,MIT,2014-11-16 05:14:39.000,2022-01-06 23:34:35.000,2021-12-11 17:16:06.000,1212.0,2.0,1914,124.0,604.0,410.0,1162.0,10112,2021-03-08 05:01:08.649,0.28.1,114.0,React carousel component.,164860.0,154647.0,148.0,37,https://www.npmjs.com/package/react-slick,2021-03-08 05:01:08.649,10213.0,2829934.0,2829934.0,,,,True,1,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Grommet,grommet/grommet,grommet,ui-frameworks,org.webjars.npm:grommet,https://github.com/grommet/grommet,https://github.com/grommet/grommet,Apache-2.0,2015-03-24 08:54:10.000,2022-01-13 10:18:18.000,2022-01-12 18:39:38.000,6159.0,119.0,938,134.0,3085.0,179.0,2644.0,7737,2022-01-06 18:15:36.000,2.20.0,139.0,"a react-based framework that provides accessibility, modularity, responsiveness, and theming in a tidy package.",8052.0,7321.0,323.0,37,https://www.npmjs.com/package/grommet,2022-01-06 18:15:18.068,731.0,81503.0,81531.0,https://search.maven.org/artifact/org.webjars.npm/grommet,2018-06-01 00:00:00.000,,True,2,,https://v2.grommet.io/components,,,,1848.0,,,,,,,,,,,,,,,,,,,,
71,carbon,carbon-design-system/carbon,carbon-components-react,ui-frameworks,org.webjars.npm:carbon-components-react,https://github.com/carbon-design-system/carbon,https://github.com/carbon-design-system/carbon,Apache-2.0,2017-03-13 14:23:59.000,2022-01-13 14:58:23.000,2022-01-13 03:34:53.000,8421.0,171.0,1199,71.0,4827.0,516.0,4824.0,5069,2021-12-10 17:25:18.000,10.50.0,959.0,A design system built by IBM.,301.0,40.0,363.0,37,https://www.npmjs.com/package/carbon-components-react,2022-01-13 05:37:08.679,261.0,141189.0,141247.0,https://search.maven.org/artifact/org.webjars.npm/carbon-components-react,2019-08-15 00:00:00.000,,True,2,,,,,,1110.0,,,,,,,,,,,,,,,,,,,,
72,React Chartjs 2,reactchartjs/react-chartjs-2,react-chartjs-2,data-viz,org.webjars.npm:react-chartjs-2,https://github.com/reactchartjs/react-chartjs-2,https://github.com/reactchartjs/react-chartjs-2,MIT,2016-05-06 22:01:08.000,2022-01-13 15:10:29.000,2022-01-13 13:08:32.000,447.0,138.0,917,48.0,359.0,122.0,543.0,4720,2021-11-22 20:38:25.000,4.0.0,74.0,"React components for Chart.js, the most popular charting library.",112093.0,108374.0,69.0,37,https://www.npmjs.com/package/react-chartjs-2,2021-11-22 20:36:55.002,3719.0,1610081.0,1610081.0,https://search.maven.org/artifact/org.webjars.npm/react-chartjs-2,2017-11-10 03:02:08.000,,True,2,,https://reactchartjs.github.io/react-chartjs-2/,,,,,,,,,,,,,,,,,,,,,,,,
73,polaris-react,Shopify/polaris-react,@shopify/polaris,ui-frameworks,org.webjars.npm:shopify__polaris,https://github.com/Shopify/polaris-react,https://github.com/Shopify/polaris-react,MIT,2017-04-20 18:26:34.000,2022-01-13 14:57:42.000,2022-01-13 00:04:19.000,7125.0,111.0,871,332.0,2785.0,377.0,1768.0,4459,2021-12-16 16:37:58.000,7.5.0,414.0,Shopifys admin product component library.,3773.0,3604.0,302.0,37,https://www.npmjs.com/package/@shopify/polaris,2022-01-06 21:05:24.416,169.0,202829.0,203356.0,https://search.maven.org/artifact/org.webjars.npm/shopify__polaris,2019-12-28 00:00:00.000,,True,2,,,,,,18447.0,,,,,,,,,,,,,,,,,,,,
74,react-day-picker,gpbl/react-day-picker,react-day-picker,other-components,org.webjars.npm:react-day-picker,https://github.com/gpbl/react-day-picker,https://github.com/gpbl/react-day-picker,MIT,2014-12-28 17:07:20.000,2022-01-12 13:39:35.000,2022-01-08 12:13:49.000,3227.0,192.0,544,42.0,554.0,54.0,648.0,4390,2021-03-19 12:00:37.059,7.4.10,179.0,Date picker component for React.,20221.0,18179.0,124.0,37,https://www.npmjs.com/package/react-day-picker,2021-12-20 13:01:27.531,2041.0,1588296.0,1588296.0,https://search.maven.org/artifact/org.webjars.npm/react-day-picker,2020-07-31 13:47:53.000,1.0,True,1,,,,,,,,,,,,,,,,,,,,,,,,,,
75,primereact,primefaces/primereact,primereact,ui-frameworks,org.webjars.npm:primereact,https://github.com/primefaces/primereact,https://github.com/primefaces/primereact,MIT,2016-12-16 15:56:27.000,2022-01-13 13:17:33.000,2022-01-13 13:17:30.000,5199.0,292.0,526,75.0,366.0,223.0,1986.0,2415,2021-12-13 11:42:52.246,7.1.0,96.0,The Most Complete React UI Component Library.,7515.0,7293.0,130.0,37,https://www.npmjs.com/package/primereact,2021-12-13 11:42:52.246,222.0,150188.0,150188.0,https://search.maven.org/artifact/org.webjars.npm/primereact,2020-09-15 00:00:00.000,,True,2,,,,,,,,,,,,,,,,,,,,,,,,,,
76,DevExtreme,DevExpress/DevExtreme,devextreme,other-components,,https://github.com/DevExpress/DevExtreme,https://github.com/DevExpress/DevExtreme,Aladdin,2017-04-17 15:43:34.000,2022-01-13 15:50:21.000,2022-01-13 15:31:53.000,11465.0,546.0,477,75.0,20189.0,69.0,576.0,1541,2021-12-09 11:56:07.000,21.2.4,567.0,HTML5 JavaScript Component Suite for Responsive Web Development.,6494.0,6140.0,105.0,37,https://www.npmjs.com/package/devextreme,2021-12-23 06:07:16.848,354.0,1219467.0,1219467.0,,,,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,
77,zustand,pmndrs/zustand,zustand,state-management,,https://github.com/pmndrs/zustand,https://github.com/pmndrs/zustand,MIT,2019-04-09 09:10:06.000,2022-01-13 15:44:15.000,2022-01-13 03:23:29.000,602.0,62.0,350,90.0,284.0,29.0,319.0,12915,2022-01-10 14:18:02.000,3.6.9,83.0,Bear necessities for state management in React.,11588.0,11494.0,82.0,36,https://www.npmjs.com/package/zustand,2021-11-16 14:27:22.215,94.0,958704.0,958704.0,,,,True,3,,,,,,,,,,,,,,,,,,,,,,,,,,
